centerX,run
5.4109456,315
3.118631,315
9.9457511,315
6.3962864,315
8.3102155,315
3.8348318,315
4.680734,315
10.175887,315
2.9948111,315
10.339761,315
9.5755,315
7.1987076,315
7.4537168,315
10.10424,315
9.2925,315
6.1007883,315
3.672741,315
8.8106489,315
7.2435615,315
10.55374,315
6.7123018,315
7.8504217,315
8.797697,315
6.6486299,315
3.3723498,315
5.2402308,315
5.1886607,315
6.3619828,315
5.7635314,315
7.4402389,315
7.5991667,315
5.8631679,315
9.0542176,315
7.1401872,315
5.1316626,315
8.7140122,315
10.531795,315
8.0421681,315
10.851053,315
3.254625,315
6.0632759,315
8.8635937,315
5.00375,315
11.095799,315
7.676756,315
4.5593062,315
7.0520614,315
8.2995,315
3.4192536,315
8.5356694,315
4.9368807,315
6.9129525,315
7.6607818,315
5.1949138,315
9.6070652,315
10.937704,315
9.2084817,315
7.2285549,315
6.5807796,315
8.4525785,315
3.1079603,315
4.8305657,315
6.8911598,315
9.2462624,315
5.9555638,315
7.7035,315
9.0712393,315
6.0255677,315
9.2226734,315
8.3480752,315
11.055377,315
3.128125,315
5.5583673,315
6.4227475,315
8.3731678,315
7.7742204,315
10.218389,315
9.1786538,315
6.5892619,315
3.8291458,315
10.681957,315
8.4034211,315
8.9838663,315
5.6613496,315
7.8303879,315
8.2084302,315
11.006801,315
7.5803509,315
4.9738934,315
5.7991011,315
6.9610799,315
11.118821,315
5.3131953,315
5.5036741,315
7.7814037,315
7.9728256,315
5.8715094,315
5.2822384,315
6.4840823,315
6.8773963,315
8.8755838,315
9.0774223,315
3.9064348,315
5.9407237,315
10.203199,315
8.6941667,315
8.4152594,315
4.2983898,315
11.135643,315
8.5590723,315
8.0622965,315
7.3821934,315
5.3153173,315
6.9066813,315
6.7906667,315
4.3855263,315
6.7871134,315
6.5030263,315
7.4548054,315
4.1638324,315
8.7303443,315
7.9470865,315
11.462306,315
10.590489,315
6.9455435,315
3.6076201,315
9.8929847,315
4.509883,315
6.2966057,315
3.86871,315
3.7878361,315
7.7874803,315
5.4959559,315
8.8565805,315
9.5568376,315
5.0344744,315
6.8013626,315
10.048396,315
9.1950949,315
8.1074024,315
7.7938636,315
3.9273206,315
9.2455655,315
7.8646944,315
8.2753478,315
4.9897222,315
2.94775,315
7.468883,315
5.036648,315
11.028417,315
4.3563889,315
8.9341554,315
7.4887375,315
10.813694,315
5.999777,315
9.00075,315
10.627344,315
10.08375,315
5.5090945,315
3.2463333,315
8.2219634,315
4.5654661,315
7.1060714,315
5.0922266,315
7.368838,315
8.3319054,315
11.037842,315
9.5360153,315
3.1410861,315
7.2545519,315
8.9907812,315
4.8260759,315
4.2880602,315
2.7175,315
8.5983704,315
7.9453,315
9.9036321,315
11.013411,315
8.3571448,315
4.3903571,315
6.9004927,315
5.6546008,315
6.7135622,315
7.8036161,315
9.1834135,315
4.7951654,315
10.310056,315
9.401036,315
9.284,315
7.2723975,315
9.860738,315
8.2307158,315
8.922299,315
10.698814,315
9.2363934,315
6.4773792,315
5.9297756,315
9.1315039,315
5.4924138,315
5.3848577,315
9.1602049,315
6.3596429,315
6.3767793,315
3.7218849,315
4.92975,315
10.79689,315
6.4533744,315
9.1189147,315
10.265622,315
6.8815132,315
8.0707967,315
8.3094104,315
6.64625,315
9.1567667,315
9.2288578,315
7.3789535,315
8.9556604,315
8.8557051,315
6.4912992,315
5.5985417,315
6.7677356,315
3.6124398,315
7.4699051,315
5.2340145,315
8.3211468,315
10.337953,315
7.091413,315
6.8079,315
7.80945,315
6.3358036,315
9.64125,315
7.7916667,315
7.85125,315
10.426079,315
6.7917967,315
9.0374565,315
7.5997308,315
8.332757,315
8.7068812,315
9.0260238,315
4.2096629,315
8.4080976,315
