Timestamp,IMB,runNumber,Septem,Time since run start
1550246788,24.561,320,40.0695,0
1550246794,24.5564,320,40.2112,6
1550246800,24.5533,320,40.3823,12
1550246806,24.5625,320,40.541,18
1550246812,24.5641,320,40.4933,24
1550246818,24.5733,320,40.8215,30
1550246824,24.5748,320,40.9417,36
1550246830,24.5871,320,41.0635,42
1550246836,24.6009,320,41.1668,48
1550246842,24.6146,320,41.2639,54
1550246848,24.6284,320,41.3594,60
1550246854,24.6376,320,41.4365,66
1550246860,24.6499,320,41.5182,72
1550246866,24.6499,320,41.5891,78
1550246872,24.6561,320,41.6477,84
1550246878,24.6653,320,41.7109,90
1550246884,24.6714,320,41.7556,96
1550246890,24.6684,320,41.8065,102
1550246896,24.6745,320,41.8404,108
1550246902,24.6837,320,41.8867,114
1550246908,24.6745,320,41.9206,120
1550246914,24.6668,320,41.956,126
1550246920,24.6714,320,41.9853,132
1550246926,24.6714,320,42.0085,138
1550246932,24.6684,320,42.0346,144
1550246938,24.673,320,42.0563,150
1550246944,24.6806,320,42.0825,156
1550246950,24.6898,320,42.1118,162
1550246956,24.696,320,42.1287,168
1550246962,24.699,320,42.1472,174
1550246968,24.699,320,42.1641,180
1550246974,24.7082,320,42.1796,186
1550246980,24.7143,320,42.1966,192
1550246986,24.7205,320,42.2197,198
1550246992,24.7251,320,42.2243,204
1550246998,24.7266,320,42.2413,210
1550247004,24.7343,320,42.2459,216
1550247010,24.7511,320,42.2582,222
1550247016,24.7481,320,42.2659,228
1550247022,24.7496,320,42.2799,234
1550247028,24.7573,320,42.2891,240
1550247034,24.7634,320,42.2999,246
1550247040,24.7603,320,42.3076,252
1550247046,24.7603,320,42.3184,258
1550247052,24.7726,320,42.3199,264
1550247058,24.7773,320,42.3261,270
1550247064,24.7619,320,42.3384,276
1550247070,24.7711,320,42.3384,282
1550247076,24.7711,320,42.343,288
1550247082,24.7696,320,42.3507,294
1550247088,24.768,320,42.3523,300
1550247094,24.765,320,42.3615,306
1550247100,24.7603,320,42.36,312
1550247106,24.768,320,42.3738,318
1550247112,24.7757,320,42.3661,324
1550247118,24.7742,320,42.3754,330
1550247124,24.7742,320,42.3754,336
1550247130,24.7757,320,42.38,342
1550247136,24.7788,320,42.3769,348
1550247142,24.7834,320,42.3877,354
1550247148,24.788,320,42.3831,360
1550247154,24.788,320,42.397,366
1550247160,24.7941,320,42.4078,372
1550247166,24.8003,320,42.4124,378
1550247172,24.8125,320,42.4155,384
1550247178,24.8049,320,42.4278,390
1550247184,24.8202,320,42.4278,396
1550247190,24.8187,320,42.4294,402
1550247196,24.8233,320,42.4371,408
1550247202,24.834,320,42.434,414
1550247208,24.8355,320,42.4433,420
1550247214,24.8401,320,42.4463,426
1550247220,24.8447,320,42.4463,432
1550247226,25.0475,320,42.4556,438
1550247232,24.6566,320,42.4602,444
1550247238,25.2453,320,42.4664,450
1550247244,25.6428,320,42.471,456
1550247250,24.8526,320,42.4694,462
1550247256,24.8447,320,42.4725,468
1550247262,24.8401,320,42.4787,474
1550247268,24.8355,320,42.4772,480
1550247274,24.8386,320,42.4741,486
1550247280,24.8325,320,42.471,492
1550247286,24.8248,320,42.4741,498
1550247292,24.8156,320,42.4695,504
1550247298,24.8064,320,42.4694,510
1550247304,24.7926,320,42.4725,516
1550247310,24.7895,320,42.4695,522
1550247316,24.7788,320,42.471,528
1550247322,24.7803,320,42.4617,534
1550247328,24.7665,320,42.4602,540
1550247334,24.7573,320,42.4525,546
1550247340,24.7619,320,42.4463,552
1550247346,24.7588,320,42.4417,558
1550247352,24.7527,320,42.4433,564
1550247358,24.7527,320,42.4402,570
1550247364,24.745,320,42.4325,576
1550247370,24.7389,320,42.4325,582
1550247376,24.7297,320,42.4201,588
1550247382,24.7251,320,42.4217,594
1550247388,24.722,320,42.4155,600
1550247394,24.7113,320,42.4124,606
1550247400,24.7143,320,42.4094,612
1550247406,24.7006,320,42.4063,618
1550247412,24.699,320,42.397,624
1550247418,24.6914,320,42.4001,630
1550247424,24.6868,320,42.3955,636
1550247430,24.6806,320,42.3831,642
1550247436,24.6714,320,42.3831,648
1550247442,24.6576,320,42.3785,654
1550247448,24.6561,320,42.3769,660
1550247454,24.6469,320,42.3692,666
1550247460,24.6515,320,42.3631,672
1550247466,24.6484,320,42.363,678
1550247472,24.6438,320,42.3615,684
1550247478,24.6423,320,42.3507,690
1550247484,24.6361,320,42.3461,696
1550247490,24.6469,320,42.3476,702
1550247496,24.6469,320,42.3492,708
1550247502,24.6469,320,42.3338,714
1550247508,24.6469,320,42.3415,720
1550247514,24.6453,320,42.3415,726
1550247520,24.6546,320,42.3369,732
1550247526,24.6499,320,42.3353,738
1550247532,24.6592,320,42.323,744
1550247538,24.6592,320,42.3338,750
1550247544,24.6515,320,42.3369,756
