skewnessTransverse,run
0.36490413,339
-0.19019901,339
-0.74858546,339
-0.00025919074,339
0.073151334,339
-0.37855653,339
-0.11231353,339
-1.0765421,339
-0.14215488,339
0.8787813,339
1.354434,339
-0.80524233,339
0.21143971,339
-0.019875551,339
0.20295888,339
-0.63957746,339
-0.066456239,339
0.19715056,339
0.53151063,339
-0.68647499,339
-0.5562843,339
-0.25709004,339
-0.17539259,339
0.34098236,339
-0.42223897,339
1.053693,339
0.35640163,339
-1.6034752,339
1.0621207,339
0.093596619,339
-0.23413439,339
-0.24872317,339
0.037739596,339
0.2613884,339
0.19503485,339
-0.20754101,339
0.11727526,339
-0.19092429,339
0.29386268,339
-0.99044524,339
-0.5395778,339
0.42565095,339
0.78396739,339
-0.28557218,339
0.28014962,339
0.61731414,339
-0.6161613,339
0.2168661,339
0.073686781,339
-0.49203645,339
-0.11031098,339
-0.21386714,339
-0.16090583,339
0.43881764,339
0.069658689,339
-0.7936299,339
-0.26315052,339
0.23000197,339
-0.62146622,339
0.075260388,339
0.029568746,339
0.033934005,339
-0.28862475,339
-0.064622053,339
-0.10897298,339
0.5920475,339
0.23997898,339
0.014805325,339
0.38617659,339
0.049280292,339
-0.63612004,339
-0.037424217,339
-0.36325884,339
0.25795575,339
-0.92870164,339
0.26208197,339
-0.051324168,339
-0.096264019,339
0.16723468,339
-0.034256257,339
0.29987235,339
0.41584137,339
-0.23077602,339
-0.76494585,339
-0.75932879,339
-1.0258345,339
1.0544322,339
0.56451785,339
-0.084688353,339
0.23232258,339
-0.60054609,339
-0.0057146353,339
-0.11047651,339
-1.8457596,339
-0.032095231,339
0.077759809,339
-0.54070975,339
0.010510949,339
0.75751694,339
0.26704432,339
0.30649009,339
-0.019143824,339
-0.41113095,339
-0.090013284,339
-0.19017592,339
-0.37504521,339
-0.86834821,339
0.22780884,339
0.078926688,339
0.42831038,339
-0.3005998,339
-0.045403853,339
-0.15287066,339
0.11870387,339
0.14040718,339
0.059273598,339
0.66334503,339
-0.30195114,339
0.10464327,339
0.24038825,339
-0.70331778,339
0.16949097,339
0.026866147,339
-0.062964344,339
-0.42462317,339
0.17854218,339
-0.62093673,339
-0.18195835,339
-0.26516142,339
-0.525019,339
0.34199499,339
0.11091087,339
-0.30523869,339
-0.014155155,339
-0.63100067,339
-0.56116424,339
-0.071972716,339
0.11207308,339
0.37667247,339
-0.29014894,339
-0.061980941,339
-0.48355104,339
-0.073180639,339
-0.15916377,339
-0.86236205,339
-1.0184923,339
0.43565035,339
-0.12415477,339
-0.0034741496,339
0.36100906,339
0.39246096,339
0.18489029,339
-0.10588323,339
-0.38624783,339
-0.27674003,339
-0.72428713,339
0.29834033,339
-0.3702141,339
0.3893166,339
-0.31835985,339
-0.26182692,339
-0.052704529,339
0.37247286,339
0.26554397,339
-0.09923968,339
0.31143173,339
0.57933587,339
0.029569542,339
-0.031605303,339
0.26150864,339
0.27750526,339
-0.077985862,339
-0.20909241,339
0.068031098,339
-0.57788788,339
0.98627321,339
-0.71423606,339
-0.16643127,339
0.40023561,339
0.059566235,339
-0.35910563,339
-0.2814386,339
0.045996678,339
0.062638424,339
-0.25214141,339
0.18914987,339
0.12019005,339
-0.037323395,339
0.16478785,339
-0.57207703,339
0.29624289,339
-0.018306428,339
-0.025610418,339
0.212175,339
0.85316448,339
-0.93179887,339
-0.037602727,339
0.71694461,339
0.25767653,339
-0.7481571,339
0.29688145,339
-0.04026413,339
-0.018201982,339
-0.23006337,339
0.56822792,339
-0.21308483,339
-0.13110445,339
0.075445706,339
-0.41998635,339
-0.15227451,339
-0.024901281,339
0.63318195,339
-0.24664926,339
0.65833787,339
0.33225064,339
0.27264952,339
-0.48476933,339
0.1396825,339
0.041445034,339
0.40113617,339
0.47751799,339
0.082684011,339
-0.55839592,339
-0.35639687,339
-0.20967747,339
0.43825339,339
1.0840666,339
0.14912822,339
0.28433755,339
-0.26560989,339
-0.12266968,339
-0.63240963,339
-0.46794224,339
-0.23295819,339
0.37730351,339
0.75922128,339
-0.11790493,339
0.22033688,339
0.34452641,339
-0.023531335,339
-0.33557265,339
-0.35318353,339
0.02843808,339
-0.084096793,339
0.84386609,339
0.52228244,339
-0.53145746,339
-0.47051454,339
-0.23593449,339
-0.01249341,339
-0.99118684,339
1.7961842,339
-0.90395543,339
0.46972582,339
-0.25799995,339
-0.62983932,339
0.20919,339
-0.17388138,339
-0.022044573,339
-0.46451126,339
0.69941207,339
-0.58490512,339
0.17680562,339
0.58132729,339
0.49191848,339
-0.49305671,339
0.29732282,339
0.15547648,339
0.38332642,339
-0.25796722,339
0.32771015,339
0.004190344,339
1.0571053,339
-0.33399769,339
-0.24515374,339
0.44030901,339
-0.09584049,339
0.12540998,339
0.2473607,339
1.2773548,339
0.099575862,339
-0.063432741,339
-0.035780736,339
0.12585856,339
-0.42095952,339
-0.036654711,339
-1.6234989,339
-0.41714162,339
-0.86195045,339
-0.55504134,339
-0.74895242,339
-0.088887551,339
-0.30955868,339
-0.23997927,339
0.92832863,339
-1.0277458,339
-0.36379369,339
0.25894537,339
0.69136542,339
0.46171868,339
0.034511851,339
-1.1540077,339
-0.019686884,339
0.042287118,339
-0.03804037,339
-0.064806918,339
0.33021605,339
0.36117894,339
0.62992056,339
0.0040354067,339
-0.57080944,339
-0.10597583,339
1.0540483,339
0.2682753,339
-0.7800303,339
-0.12286754,339
-0.18667941,339
-0.015805422,339
0.56552995,339
0.19865573,339
0.62278678,339
-0.071792578,339
0.12092201,339
-0.77429626,339
0.29807431,339
0.73821371,339
-0.56262899,339
0.43769106,339
-0.064010791,339
-0.38586355,339
0.17784939,339
0.048313115,339
0.067586185,339
0.6200002,339
-0.0074811977,339
-0.037782464,339
0.59516307,339
0.14635567,339
0.014974248,339
0.045505462,339
0.23092817,339
-0.29977585,339
0.42128203,339
-0.98858788,339
0.31949437,339
0.26194656,339
0.085715954,339
1.0727652,339
-0.41075965,339
-0.97544084,339
-0.21111727,339
-0.18941846,339
-0.02357821,339
0.025497057,339
0.54332706,339
-0.022896062,339
0.33423991,339
0.25242415,339
0.17840831,339
0.10348858,339
-0.36693747,339
0.26550192,339
0.45211059,339
-0.93618923,339
-0.020502676,339
-0.3949503,339
-1.0368271,339
0.44989304,339
-0.17691783,339
0.52743912,339
-0.07408757,339
0.58874432,339
