Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Polya,1002.5186,187,false,0
Polya,1052.591,299,false,0
Polya,1107.2378,621,false,0
Polya,1167.0099,1062,true,0
Polya,1232.5286,1452,true,0
Polya,1304.491,1695,true,0
Polya,1383.6744,1912,true,0
Polya,1470.9377,1947,true,0
Polya,1567.2186,1829,true,0
Polya,1673.5246,1772,true,0
Polya,1790.9161,1653,true,0
Polya,1920.4794,1542,true,0
Polya,2063.2889,1344,true,0
Polya,2220.3591,1223,true,0
Polya,2392.5885,1026,true,0
Polya,2580.7015,835,true,0
Polya,2785.1951,826,true,0
Polya,3006.2993,661,true,0
Polya,3243.9579,594,true,0
Polya,3497.8328,459,true,0
Polya,3767.3327,389,true,0
Polya,4051.6584,303,true,0
Polya,4349.8591,282,true,0
Polya,4660.8906,193,true,0
Polya,4983.6686,160,true,0
Polya,5317.1131,130,true,0
Polya,5660.1817,119,true,0
Polya,6011.8927,103,true,0
Polya,6371.3384,86,true,0
Polya,6737.6918,67,true,0
Polya,7110.2072,54,true,0
Polya,7488.2178,51,true,0
Polya,7871.1304,43,true,0
Polya,8258.42,31,true,0
Polya,8649.6223,26,true,0
Polya,9044.3283,15,true,0
Polya,9442.177,15,true,0
Polya,9842.8504,19,true,0
Polya,10246.068,9,true,0
Polya,10651.581,9,true,0
Polya,11059.171,11,true,0
Polya,11468.645,10,true,0
Polya,11879.828,7,true,0
Polya,12292.569,6,true,0
Polya,12706.731,5,true,0
Polya,13122.191,9,true,0
Polya,13538.842,1,true,0
Polya,13956.586,6,true,0
Polya,14375.334,3,true,0
Polya,14795.008,3,true,0
Polya,15215.537,3,true,0
Polya,15636.856,3,true,0
Polya,16058.907,1,true,0
Polya,16481.637,0,true,0
Polya,16904.999,1,true,0
Polya,17328.948,0,true,0
Polya,17753.445,2,true,0
Polya,18178.453,0,true,0
Polya,18603.939,2,true,0
Polya,19029.872,1,true,0
Polya,19456.224,0,true,0
Polya,19882.97,0,true,0
Polya,20310.085,0,true,0
Polya,20737.547,1,true,0
Polya,21165.337,2,true,0
Polya,21593.435,0,true,0
Polya,22021.824,0,true,0
Polya,22450.488,0,true,0
Polya,22879.413,0,true,0
Polya,23308.583,0,true,0
Polya,23737.986,0,true,0
Polya,24167.611,0,true,0
Polya,24597.445,0,true,0
