Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,1247.4415,1139.4286,true,0
Fit,1282.6597,1165.1187,true,0
Fit,1317.8779,1189.2546,true,0
Fit,1353.096,1211.8315,true,0
Fit,1388.3142,1232.8499,true,0
Fit,1423.5324,1252.3157,true,0
Fit,1458.7505,1270.2393,true,0
Fit,1493.9687,1286.6354,true,0
Fit,1529.1869,1301.5228,true,0
Fit,1564.405,1314.9235,true,0
Fit,1599.6232,1326.8628,true,0
Fit,1634.8414,1337.3686,true,0
Fit,1670.0596,1346.4716,true,0
Fit,1705.2777,1354.2043,true,0
Fit,1740.4959,1360.6013,true,0
Fit,1775.7141,1365.6988,true,0
Fit,1810.9322,1369.5343,true,0
Fit,1846.1504,1372.1465,true,0
Fit,1881.3686,1373.5751,true,0
Fit,1916.5867,1373.8604,true,0
Fit,1951.8049,1373.0433,true,0
Fit,1987.0231,1371.1653,true,0
Fit,2022.2412,1368.2678,true,0
Fit,2057.4594,1364.3926,true,0
Fit,2092.6776,1359.5812,true,0
Fit,2127.8957,1353.875,true,0
Fit,2163.1139,1347.3154,true,0
Fit,2198.3321,1339.943,true,0
Fit,2233.5502,1331.7984,true,0
Fit,2268.7684,1322.9213,true,0
Fit,2303.9866,1313.351,true,0
Fit,2339.2047,1303.126,true,0
Fit,2374.4229,1292.2843,true,0
Fit,2409.6411,1280.8629,true,0
Fit,2444.8592,1268.898,true,0
Fit,2480.0774,1256.4252,true,0
Fit,2515.2956,1243.4788,true,0
Fit,2550.5137,1230.0926,true,0
Fit,2585.7319,1216.2992,true,0
Fit,2620.9501,1202.1303,true,0
Fit,2656.1682,1187.6167,true,0
Fit,2691.3864,1172.7883,true,0
Fit,2726.6046,1157.6737,true,0
Fit,2761.8227,1142.301,true,0
Fit,2797.0409,1126.6968,true,0
Fit,2832.2591,1110.8872,true,0
Fit,2867.4772,1094.897,true,0
Fit,2902.6954,1078.7502,true,0
Fit,2937.9136,1062.4697,true,0
Fit,2973.1318,1046.0776,true,0
Fit,3008.3499,1029.595,true,0
Fit,3043.5681,1013.0421,true,0
Fit,3078.7863,996.43815,true,0
Fit,3114.0044,979.80163,true,0
Fit,3149.2226,963.15005,true,0
Fit,3184.4408,946.50009,true,0
Fit,3219.6589,929.86763,true,0
Fit,3254.8771,913.26771,true,0
Fit,3290.0953,896.71459,true,0
Fit,3325.3134,880.22178,true,0
Fit,3360.5316,863.802,true,0
Fit,3395.7498,847.4673,true,0
Fit,3430.9679,831.22897,true,0
Fit,3466.1861,815.09765,true,0
Fit,3501.4043,799.08332,true,0
Fit,3536.6224,783.19528,true,0
Fit,3571.8406,767.44226,true,0
Fit,3607.0588,751.83237,true,0
Fit,3642.2769,736.37314,true,0
Fit,3677.4951,721.07154,true,0
Fit,3712.7133,705.93402,true,0
Fit,3747.9314,690.96652,true,0
Fit,3783.1496,676.17445,true,0
Fit,3818.3678,661.56278,true,0
Fit,3853.5859,647.13602,true,0
Fit,3888.8041,632.89822,true,0
Fit,3924.0223,618.85303,true,0
Fit,3959.2404,605.00371,true,0
Fit,3994.4586,591.35311,true,0
Fit,4029.6768,577.90374,true,0
Fit,4064.8949,564.65774,true,0
Fit,4100.1131,551.61693,true,0
