Type,charge / e-,counts,FitRange
Polya,1025.2104,182,false
Polya,1076.658,292,false
Polya,1132.7946,575,false
Polya,1194.1778,1021,true
Polya,1261.4336,1381,true
Polya,1335.2612,1686,true
Polya,1416.4361,1847,true
Polya,1505.8088,1808,true
Polya,1604.3009,1701,true
Polya,1712.8932,1753,true
Polya,1832.6062,1713,true
Polya,1964.4718,1527,true
Polya,2109.4939,1401,true
Polya,2268.6014,1201,true
Polya,2442.5948,1123,true
Polya,2632.0938,1008,true
Polya,2837.4917,852,true
Polya,3058.9239,763,true
Polya,3296.2574,672,true
Polya,3549.1013,522,true
Polya,3816.8377,442,true
Polya,4098.6675,359,true
Polya,4393.6629,309,true
Polya,4700.8203,254,true
Polya,5019.108,198,true
Polya,5347.5051,177,true
Polya,5685.0304,131,true
Polya,6030.7618,107,true
Polya,6383.8479,98,true
Polya,6743.5127,98,true
Polya,7109.0562,59,true
Polya,7479.8517,42,true
Polya,7855.3411,40,true
Polya,8235.0293,33,true
Polya,8618.4779,29,true
Polya,9005.2996,27,true
Polya,9395.1523,23,true
Polya,9787.7337,15,true
Polya,10182.777,20,true
Polya,10580.045,9,true
Polya,10979.328,14,true
Polya,11380.442,7,true
Polya,11783.22,7,true
Polya,12187.515,3,true
Polya,12593.197,10,true
Polya,13000.147,3,true
Polya,13408.261,2,true
Polya,13817.445,8,true
Polya,14227.613,4,true
Polya,14638.688,4,true
Polya,15050.603,2,true
Polya,15463.294,1,true
Polya,15876.705,4,true
Polya,16290.784,0,true
Polya,16705.484,1,true
Polya,17120.764,1,true
Polya,17536.583,1,true
Polya,17952.907,1,true
Polya,18369.702,0,true
Polya,18786.939,1,true
Polya,19204.591,0,true
Polya,19622.631,1,true
Polya,20041.037,0,true
Polya,20459.786,0,true
Polya,20878.86,0,true
Polya,21298.24,0,true
Polya,21717.908,0,true
Polya,22137.848,0,true
Polya,22558.047,0,true
Polya,22978.49,0,true
Polya,23399.164,0,true
Polya,23820.058,0,true
Polya,24241.16,1,true
Polya,24662.46,0,true
Fit,1025.2104,1456.5577,false
Fit,1059.4583,1473.567,false
Fit,1093.7062,1488.5022,false
Fit,1127.9541,1501.4375,false
Fit,1162.202,1512.4482,false
Fit,1196.4499,1521.6092,true
Fit,1230.6978,1528.9956,true
Fit,1264.9457,1534.6818,true
Fit,1299.1936,1538.7416,true
Fit,1333.4415,1541.2478,true
Fit,1367.6894,1542.2722,true
Fit,1401.9372,1541.8851,true
Fit,1436.1851,1540.1559,true
Fit,1470.433,1537.1521,true
Fit,1504.6809,1532.9397,true
Fit,1538.9288,1527.5833,true
Fit,1573.1767,1521.1455,true
Fit,1607.4246,1513.6872,true
Fit,1641.6725,1505.2678,true
Fit,1675.9204,1495.9446,true
Fit,1710.1683,1485.7732,true
Fit,1744.4162,1474.8074,true
Fit,1778.6641,1463.0991,true
Fit,1812.912,1450.6985,true
Fit,1847.1599,1437.6539,true
Fit,1881.4078,1424.0119,true
Fit,1915.6557,1409.8173,true
Fit,1949.9036,1395.1133,true
Fit,1984.1515,1379.9411,true
Fit,2018.3994,1364.3405,true
Fit,2052.6473,1348.3495,true
Fit,2086.8952,1332.0046,true
Fit,2121.1431,1315.3407,true
Fit,2155.391,1298.3912,true
Fit,2189.6388,1281.1879,true
Fit,2223.8867,1263.7612,true
Fit,2258.1346,1246.1401,true
Fit,2292.3825,1228.3522,true
Fit,2326.6304,1210.4239,true
Fit,2360.8783,1192.3801,true
Fit,2395.1262,1174.2446,true
Fit,2429.3741,1156.0399,true
Fit,2463.622,1137.7874,true
Fit,2497.8699,1119.5072,true
Fit,2532.1178,1101.2186,true
Fit,2566.3657,1082.9395,true
Fit,2600.6136,1064.6871,true
Fit,2634.8615,1046.4774,true
Fit,2669.1094,1028.3256,true
Fit,2703.3573,1010.2458,true
Fit,2737.6052,992.25148,true
Fit,2771.8531,974.35507,true
Fit,2806.101,956.5683,true
Fit,2840.3489,938.90208,true
Fit,2874.5968,921.3666,true
Fit,2908.8447,903.97134,true
Fit,2943.0926,886.72509,true
Fit,2977.3404,869.63598,true
Fit,3011.5883,852.71154,true
Fit,3045.8362,835.95867,true
Fit,3080.0841,819.38374,true
Fit,3114.332,802.99253,true
Fit,3148.5799,786.79035,true
Fit,3182.8278,770.78198,true
Fit,3217.0757,754.97173,true
Fit,3251.3236,739.36349,true
Fit,3285.5715,723.96068,true
Fit,3319.8194,708.76635,true
Fit,3354.0673,693.78316,true
Fit,3388.3152,679.01337,true
Fit,3422.5631,664.45894,true
Fit,3456.811,650.12146,true
Fit,3491.0589,636.00224,true
Fit,3525.3068,622.10227,true
Fit,3559.5547,608.42228,true
Fit,3593.8026,594.96273,true
Fit,3628.0505,581.72382,true
Fit,3662.2984,568.70554,true
Fit,3696.5463,555.90763,true
Fit,3730.7942,543.32966,true
Fit,3765.042,530.97097,true
Fit,3799.2899,518.83074,true
Fit,3833.5378,506.90797,true
Fit,3867.7857,495.2015,true
Fit,3902.0336,483.71002,true
Fit,3936.2815,472.4321,true
Fit,3970.5294,461.36615,true
Fit,4004.7773,450.51049,true
Fit,4039.0252,439.8633,true
Fit,4073.2731,429.42269,true
Fit,4107.521,419.18664,true
Fit,4141.7689,409.15307,true
Fit,4176.0168,399.31981,true
Fit,4210.2647,389.68463,true
Fit,4244.5126,380.24521,true
Fit,4278.7605,370.9992,true
Fit,4313.0084,361.94417,true
Fit,4347.2563,353.07765,true
Fit,4381.5042,344.39714,true
Fit,4415.7521,335.90009,true
Fit,4450,327.58392,true
Fit,4484.2479,319.44603,true
Fit,4518.4958,311.48378,true
Fit,4552.7436,303.69453,true
Fit,4586.9915,296.07562,true
Fit,4621.2394,288.62436,true
Fit,4655.4873,281.33807,true
Fit,4689.7352,274.21407,true
Fit,4723.9831,267.24965,true
Fit,4758.231,260.44215,true
Fit,4792.4789,253.78885,true
