Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,1027.8594,790.71727,false,0
Fit,1058.8672,825.68778,false,0
Fit,1089.8749,860.38306,false,0
Fit,1120.8827,894.74804,false,0
Fit,1151.8904,928.73089,false,0
Fit,1182.8982,962.28302,false,0
Fit,1213.9059,995.35894,false,0
Fit,1244.9137,1027.9162,false,0
Fit,1275.9214,1059.9154,false,0
Fit,1306.9292,1091.32,false,0
Fit,1337.9369,1122.0962,false,0
Fit,1368.9447,1152.2131,false,0
Fit,1399.9524,1181.6421,false,0
Fit,1430.9602,1210.3576,false,0
Fit,1461.9679,1238.3361,false,0
Fit,1492.9757,1265.5566,false,0
Fit,1523.9834,1292.0003,false,0
Fit,1554.9912,1317.6506,false,0
