Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Polya,1025.2104,146,false,0
Polya,1076.658,255,false,0
Polya,1132.7946,453,false,0
Polya,1194.1778,822,true,0
Polya,1261.4336,1090,true,0
Polya,1335.2612,1377,true,0
Polya,1416.4361,1503,true,0
Polya,1505.8088,1498,true,0
Polya,1604.3009,1454,true,0
Polya,1712.8932,1385,true,0
Polya,1832.6062,1295,true,0
Polya,1964.4718,1223,true,0
Polya,2109.4939,1154,true,0
Polya,2268.6014,1050,true,0
Polya,2442.5948,927,true,0
Polya,2632.0938,790,true,0
Polya,2837.4917,679,true,0
Polya,3058.9239,641,true,0
Polya,3296.2574,570,true,0
Polya,3549.1013,445,true,0
Polya,3816.8377,377,true,0
Polya,4098.6675,316,true,0
Polya,4393.6629,255,true,0
Polya,4700.8203,209,true,0
Polya,5019.108,192,true,0
Polya,5347.5051,157,true,0
Polya,5685.0304,101,true,0
Polya,6030.7618,101,true,0
Polya,6383.8479,89,true,0
Polya,6743.5127,69,true,0
Polya,7109.0562,45,true,0
Polya,7479.8517,52,true,0
Polya,7855.3411,50,true,0
Polya,8235.0293,36,true,0
Polya,8618.4779,34,true,0
Polya,9005.2996,24,true,0
Polya,9395.1523,22,true,0
Polya,9787.7337,10,true,0
Polya,10182.777,15,true,0
Polya,10580.045,12,true,0
Polya,10979.328,9,true,0
Polya,11380.442,11,true,0
Polya,11783.22,13,true,0
Polya,12187.515,2,true,0
Polya,12593.197,5,true,0
Polya,13000.147,6,true,0
Polya,13408.261,5,true,0
Polya,13817.445,5,true,0
Polya,14227.613,3,true,0
Polya,14638.688,4,true,0
Polya,15050.603,6,true,0
Polya,15463.294,3,true,0
Polya,15876.705,2,true,0
Polya,16290.784,1,true,0
Polya,16705.484,2,true,0
Polya,17120.764,3,true,0
Polya,17536.583,2,true,0
Polya,17952.907,2,true,0
Polya,18369.702,2,true,0
Polya,18786.939,2,true,0
Polya,19204.591,3,true,0
Polya,19622.631,1,true,0
Polya,20041.037,0,true,0
Polya,20459.786,1,true,0
Polya,20878.86,2,true,0
Polya,21298.24,1,true,0
Polya,21717.908,1,true,0
Polya,22137.848,1,true,0
Polya,22558.047,2,true,0
Polya,22978.49,1,true,0
Polya,23399.164,1,true,0
Polya,23820.058,0,true,0
Polya,24241.16,0,true,0
Polya,24662.46,1,true,0
