Type,charge / e-,counts,FitRange
Polya,1027.8594,134,false
Polya,1076.1609,204,false
Polya,1128.5614,309,false
Polya,1185.5122,502,false
Polya,1247.5154,784,false
Polya,1315.1274,983,false
Polya,1388.96,1222,false
Polya,1469.681,1470,false
Polya,1558.0109,1605,true
Polya,1654.7155,1762,true
Polya,1760.595,1896,true
Polya,1876.4655,2194,true
Polya,2003.1356,2140,true
Polya,2141.3762,2156,true
Polya,2291.8859,2389,true
Polya,2455.2542,2406,true
Polya,2631.9268,2373,true
Polya,2822.1763,2401,true
Polya,3026.0833,2420,true
Polya,3243.5308,2166,true
Polya,3474.2127,1943,true
Polya,3717.6543,1998,true
Polya,3973.2432,1759,true
Polya,4240.2647,1477,true
Polya,4517.9385,1436,true
Polya,4805.4525,1174,true
Polya,5101.9919,1054,true
Polya,5406.7619,923,true
Polya,5719.0039,755,true
Polya,6038.0072,690,true
Polya,6363.1139,562,true
Polya,6693.7226,432,true
Polya,7029.287,366,true
Polya,7369.3148,282,true
Polya,7713.3636,247,true
Polya,8061.0378,230,true
Polya,8411.9839,162,true
Polya,8765.8868,117,true
Polya,9122.4656,95,true
Polya,9481.47,80,true
Polya,9842.6769,95,true
Polya,10205.887,59,true
Polya,10570.923,54,true
Polya,10937.625,50,true
Polya,11305.851,43,true
Polya,11675.474,26,true
Polya,12046.378,18,true
Polya,12418.461,18,true
Polya,12791.63,18,true
Polya,13165.801,12,true
Polya,13540.897,14,true
Polya,13916.85,8,true
Polya,14293.598,2,true
Polya,14671.084,8,true
Polya,15049.256,9,true
Polya,15428.067,3,true
Polya,15807.474,4,true
Polya,16187.438,3,true
Polya,16567.923,4,true
Polya,16948.895,3,true
Polya,17330.324,0,true
Polya,17712.182,1,true
Polya,18094.444,3,true
Polya,18477.084,3,true
Polya,18860.082,0,true
Polya,19243.417,0,true
Polya,19627.07,1,true
Polya,20011.023,2,true
Polya,20395.26,1,true
Polya,20779.766,0,true
Polya,21164.526,0,true
Polya,21549.529,1,true
Polya,21934.76,0,true
Polya,22320.209,0,true
Polya,22705.866,0,true
Polya,23091.719,0,true
Polya,23477.759,0,true
Polya,23863.979,0,true
Polya,24250.369,0,true
Polya,24636.921,0,true
Fit,1027.8594,1061.6356,false
Fit,1058.8672,1108.348,false
Fit,1089.8749,1154.6963,false
Fit,1120.8827,1200.6083,false
Fit,1151.8904,1246.0162,false
Fit,1182.8982,1290.8564,false
Fit,1213.9059,1335.0693,false
Fit,1244.9137,1378.5993,false
Fit,1275.9214,1421.3948,false
Fit,1306.9292,1463.408,false
Fit,1337.9369,1504.5945,false
Fit,1368.9447,1544.9137,false
Fit,1399.9524,1584.3283,false
Fit,1430.9602,1622.8044,false
Fit,1461.9679,1660.3113,false
Fit,1492.9757,1696.8212,false
Fit,1523.9834,1732.3094,false
Fit,1554.9912,1766.7541,false
Fit,1585.9989,1800.136,true
Fit,1617.0067,1832.4385,true
Fit,1648.0144,1863.6476,true
Fit,1679.0222,1893.7515,true
Fit,1710.0299,1922.7408,true
Fit,1741.0377,1950.6081,true
Fit,1772.0454,1977.3482,true
Fit,1803.0532,2002.9577,true
Fit,1834.0609,2027.4352,true
Fit,1865.0687,2050.7809,true
Fit,1896.0764,2072.9967,true
Fit,1927.0842,2094.0861,true
Fit,1958.0919,2114.0541,true
Fit,1989.0997,2132.9068,true
Fit,2020.1074,2150.652,true
Fit,2051.1152,2167.2985,true
Fit,2082.1229,2182.8562,true
Fit,2113.1307,2197.336,true
Fit,2144.1384,2210.75,true
Fit,2175.1462,2223.1112,true
Fit,2206.1539,2234.4331,true
Fit,2237.1617,2244.7305,true
Fit,2268.1694,2254.0184,true
Fit,2299.1772,2262.3128,true
Fit,2330.1849,2269.6303,true
Fit,2361.1927,2275.9878,true
Fit,2392.2004,2281.4028,true
Fit,2423.2082,2285.8934,true
Fit,2454.2159,2289.478,true
Fit,2485.2237,2292.1751,true
Fit,2516.2314,2294.0039,true
Fit,2547.2392,2294.9836,true
Fit,2578.2469,2295.1337,true
Fit,2609.2547,2294.4739,true
Fit,2640.2624,2293.024,true
Fit,2671.2702,2290.8039,true
Fit,2702.2779,2287.8336,true
Fit,2733.2857,2284.1333,true
Fit,2764.2934,2279.7229,true
Fit,2795.3012,2274.6226,true
Fit,2826.3089,2268.8523,true
Fit,2857.3167,2262.4322,true
Fit,2888.3244,2255.382,true
Fit,2919.3322,2247.7217,true
Fit,2950.3399,2239.4707,true
Fit,2981.3477,2230.6488,true
Fit,3012.3554,2221.2753,true
Fit,3043.3632,2211.3694,true
Fit,3074.3709,2200.9501,true
Fit,3105.3787,2190.0363,true
Fit,3136.3864,2178.6464,true
Fit,3167.3942,2166.7991,true
Fit,3198.4019,2154.5122,true
Fit,3229.4097,2141.8038,true
Fit,3260.4174,2128.6914,true
Fit,3291.4252,2115.1925,true
Fit,3322.4329,2101.3241,true
Fit,3353.4407,2087.103,true
Fit,3384.4484,2072.5457,true
Fit,3415.4562,2057.6685,true
Fit,3446.4639,2042.4873,true
Fit,3477.4717,2027.0177,true
Fit,3508.4794,2011.2751,true
Fit,3539.4872,1995.2744,true
Fit,3570.4949,1979.0304,true
Fit,3601.5027,1962.5574,true
Fit,3632.5104,1945.8696,true
Fit,3663.5182,1928.9807,true
Fit,3694.5259,1911.9042,true
Fit,3725.5337,1894.6532,true
Fit,3756.5414,1877.2405,true
Fit,3787.5492,1859.6786,true
Fit,3818.5569,1841.9798,true
Fit,3849.5647,1824.1559,true
Fit,3880.5724,1806.2186,true
Fit,3911.5802,1788.179,true
Fit,3942.5879,1770.0482,true
Fit,3973.5957,1751.8368,true
Fit,4004.6034,1733.5552,true
Fit,4035.6112,1715.2134,true
Fit,4066.6189,1696.8213,true
Fit,4097.6267,1678.3883,true
Fit,4128.6344,1659.9235,true
Fit,4159.6422,1641.436,true
Fit,4190.6499,1622.9344,true
Fit,4221.6577,1604.4269,true
Fit,4252.6654,1585.9217,true
Fit,4283.6732,1567.4267,true
Fit,4314.6809,1548.9492,true
Fit,4345.6887,1530.4968,true
Fit,4376.6964,1512.0763,true
Fit,4407.7042,1493.6945,true
Fit,4438.7119,1475.3581,true
Fit,4469.7197,1457.0732,true
Fit,4500.7274,1438.846,true
Fit,4531.7352,1420.6823,true
Fit,4562.7429,1402.5876,true
Fit,4593.7507,1384.5674,true
Fit,4624.7584,1366.6267,true
Fit,4655.7662,1348.7706,true
Fit,4686.7739,1331.0037,true
Fit,4717.7817,1313.3306,true
Fit,4748.7894,1295.7556,true
Fit,4779.7972,1278.2828,true
Fit,4810.8049,1260.9161,true
Fit,4841.8127,1243.6593,true
Fit,4872.8204,1226.5159,true
Fit,4903.8282,1209.4894,true
Fit,4934.8359,1192.5828,true
Fit,4965.8437,1175.7993,true
Fit,4996.8514,1159.1417,true
Fit,5027.8592,1142.6128,true
Fit,5058.8669,1126.215,true
Fit,5089.8747,1109.9508,true
Fit,5120.8824,1093.8225,true
Fit,5151.8902,1077.832,true
Fit,5182.8979,1061.9815,true
Fit,5213.9057,1046.2727,true
Fit,5244.9134,1030.7072,true
Fit,5275.9212,1015.2868,true
Fit,5306.9289,1000.0128,true
Fit,5337.9367,984.88655,true
Fit,5368.9444,969.90923,true
Fit,5399.9522,955.08195,true
Fit,5430.9599,940.40567,true
Fit,5461.9677,925.88127,true
Fit,5492.9754,911.50952,true
Fit,5523.9832,897.29108,true
Fit,5554.9909,883.22653,true
Fit,5585.9987,869.31634,true
Fit,5617.0064,855.5609,true
Fit,5648.0142,841.96052,true
Fit,5679.0219,828.5154,true
Fit,5710.0297,815.22568,true
Fit,5741.0374,802.09142,true
Fit,5772.0452,789.1126,true
Fit,5803.0529,776.28914,true
Fit,5834.0607,763.62086,true
Fit,5865.0684,751.10754,true
Fit,5896.0762,738.7489,true
Fit,5927.0839,726.54457,true
Fit,5958.0917,714.49415,true
Fit,5989.0994,702.59716,true
Fit,6020.1072,690.85309,true
Fit,6051.1149,679.26135,true
Fit,6082.1227,667.82132,true
Fit,6113.1304,656.53232,true
Fit,6144.1382,645.39364,true
Fit,6175.1459,634.40451,true
Fit,6206.1537,623.56414,true
Fit,6237.1614,612.87166,true
Fit,6268.1692,602.32621,true
Fit,6299.1769,591.92687,true
Fit,6330.1847,581.67269,true
Fit,6361.1924,571.56268,true
Fit,6392.2002,561.59584,true
Fit,6423.2079,551.77111,true
Fit,6454.2157,542.08744,true
Fit,6485.2234,532.54373,true
Fit,6516.2312,523.13885,true
Fit,6547.2389,513.87168,true
Fit,6578.2467,504.74105,true
Fit,6609.2544,495.74578,true
Fit,6640.2622,486.88467,true
Fit,6671.2699,478.15651,true
Fit,6702.2777,469.56006,true
Fit,6733.2854,461.09408,true
Fit,6764.2932,452.75731,true
Fit,6795.301,444.54848,true
Fit,6826.3087,436.46631,true
Fit,6857.3165,428.5095,true
Fit,6888.3242,420.67676,true
Fit,6919.332,412.96678,true
Fit,6950.3397,405.37824,true
Fit,6981.3475,397.90981,true
Fit,7012.3552,390.56019,true
Fit,7043.363,383.32802,true
Fit,7074.3707,376.21199,true
Fit,7105.3785,369.21075,true
Fit,7136.3862,362.32297,true
Fit,7167.394,355.5473,true
Fit,7198.4017,348.88241,true
Fit,7229.4095,342.32696,true
Fit,7260.4172,335.87961,true
Fit,7291.425,329.53902,true
Fit,7322.4327,323.30386,true
Fit,7353.4405,317.17279,true
Fit,7384.4482,311.1445,true
Fit,7415.456,305.21765,true
Fit,7446.4637,299.39093,true
Fit,7477.4715,293.66301,true
Fit,7508.4792,288.0326,true
Fit,7539.487,282.49838,true
Fit,7570.4947,277.05906,true
Fit,7601.5025,271.71336,true
Fit,7632.5102,266.45997,true
Fit,7663.518,261.29763,true
Fit,7694.5257,256.22508,true
Fit,7725.5335,251.24104,true
Fit,7756.5412,246.34426,true
Fit,7787.549,241.53351,true
Fit,7818.5567,236.80755,true
Fit,7849.5645,232.16514,true
Fit,7880.5722,227.60508,true
Fit,7911.58,223.12616,true
Fit,7942.5877,218.72718,true
Fit,7973.5955,214.40695,true
Fit,8004.6032,210.1643,true
Fit,8035.611,205.99806,true
Fit,8066.6187,201.90708,true
Fit,8097.6265,197.8902,true
Fit,8128.6342,193.9463,true
Fit,8159.642,190.07425,true
Fit,8190.6497,186.27295,true
Fit,8221.6575,182.54128,true
Fit,8252.6652,178.87816,true
Fit,8283.673,175.28251,true
Fit,8314.6807,171.75327,true
Fit,8345.6885,168.28938,true
Fit,8376.6962,164.88979,true
Fit,8407.704,161.55348,true
Fit,8438.7117,158.27942,true
Fit,8469.7195,155.0666,true
Fit,8500.7272,151.91403,true
Fit,8531.735,148.82072,true
Fit,8562.7427,145.7857,true
Fit,8593.7505,142.80801,true
Fit,8624.7582,139.88669,true
Fit,8655.766,137.02081,true
Fit,8686.7737,134.20944,true
Fit,8717.7815,131.45167,true
Fit,8748.7892,128.74659,true
Fit,8779.797,126.09331,true
Fit,8810.8047,123.49096,true
Fit,8841.8125,120.93866,true
Fit,8872.8202,118.43555,true
Fit,8903.828,115.9808,true
Fit,8934.8357,113.57357,true
Fit,8965.8435,111.21303,true
Fit,8996.8512,108.89837,true
Fit,9027.859,106.6288,true
Fit,9058.8667,104.40352,true
Fit,9089.8745,102.22176,true
Fit,9120.8822,100.08276,true
Fit,9151.89,97.985744,true
Fit,9182.8977,95.929984,true
Fit,9213.9055,93.914742,true
Fit,9244.9132,91.939294,true
Fit,9275.921,90.002929,true
Fit,9306.9287,88.104943,true
Fit,9337.9365,86.244647,true
Fit,9368.9442,84.421358,true
Fit,9399.952,82.634407,true
Fit,9430.9597,80.883134,true
Fit,9461.9675,79.166886,true
Fit,9492.9752,77.485026,true
Fit,9523.983,75.836921,true
Fit,9554.9907,74.221952,true
Fit,9585.9985,72.639508,true
Fit,9617.0062,71.088987,true
Fit,9648.014,69.569798,true
Fit,9679.0217,68.081359,true
Fit,9710.0295,66.623096,true
Fit,9741.0372,65.194447,true
Fit,9772.045,63.794855,true
Fit,9803.0527,62.423777,true
Fit,9834.0605,61.080675,true
Fit,9865.0682,59.765021,true
Fit,9896.076,58.476296,true
