fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07447,4.206,8.565,1509550409,2.877,2.125,1.681,6.411,16.04,1.998,5.428,61.55,1.763,4.666,4.974,0.09526,17.76,5.54,3.551,0.006221,5.282,background,30/10/2017
0.07527,4.281,4.331,1509555846,2.789,1.791,0.8272,5.248,16.12,1.613,2.894,52.67,1.624,4.809,0.1716,0.08793,18.02,3.872,3.466,0.004261,4.982,background,30/10/2017
0.08032,4.176,10.49,1509561249,2.721,2.752,1.333,4.619,16.09,2.094,5.377,98.44,2.683,4.977,2.038,0.09307,18.85,10.22,3.303,0.00534,8.314,background,30/10/2017
0.06944,4.182,4.621,1509566653,2.856,1.708,1.365,5.06,15.76,1.935,4.712,57.89,1.608,4.741,2.066,0.08722,17.68,3.985,3.465,0.005197,5.274,background,30/10/2017
0.08,4.214,19.42,1509572054,2.924,3.532,1.291,6.124,16.52,2.217,6.539,114.5,3.371,5.058,2.075,0.09479,18.86,18.01,3.642,0.006065,10.93,background,30/10/2017
0.07778,4.169,7.364,1509577449,3.02,2.132,1.16,5.91,15.7,2.167,6.135,65.85,2.116,4.681,0.9811,0.09553,17.72,6.611,3.665,0.00545,5.648,background,30/10/2017
0.07143,4.206,11.69,1509582865,2.791,2.687,1.378,5.25,15.79,1.591,2.466,78.82,2.235,4.799,1.832,0.09398,18.05,8.422,3.442,0.006763,7.261,background,30/10/2017
0.06667,4.454,7.527,1509588278,2.755,2.161,1.852,5.263,17.15,2.159,6.006,66.31,2.741,5.004,5.267,0.08318,18.68,14.43,3.378,0.005425,5.6,background,30/10/2017
0.06504,4.388,4.787,1509593822,2.849,1.774,1.308,6.916,16.44,2.26,6.818,58.67,1.579,4.923,1.411,0.08621,18.22,3.636,3.649,0.005649,5.756,background,30/10/2017
0.06667,4.274,16.95,1509599385,2.883,3.133,1.348,6.062,16.43,2.06,5.16,92.05,3.369,4.97,1.77,0.08713,18.91,20.47,3.543,0.005553,7.398,background,30/10/2017
0.0601,4.36,6.626,1509604787,2.829,2.121,1.998,5.898,16.05,2.519,10.21,70.94,1.669,4.976,6.501,0.08568,18.34,3.705,3.486,0.006511,7.381,background,30/10/2017
0.08621,4.305,14.16,1509610170,3.004,2.797,1.14,5.837,16.05,1.985,4.622,62.36,3.006,4.687,1.69,0.09158,17.61,17.85,3.641,0.00498,5.665,background,30/10/2017
0.06977,4.095,28.63,1509615572,2.986,3.825,1.309,5.07,15.68,1.87,4.165,81.77,3.639,4.752,1.603,0.08966,17.7,24.75,3.551,0.005349,7.327,background,30/10/2017
0.06849,4.474,8.743,1509620969,2.805,2.336,1.709,4.424,16.02,2.088,6.193,66.86,2.446,4.823,4.649,0.08709,17.98,8.772,3.353,0.005537,5.724,background,30/10/2017
0.07186,4.199,9.914,1509626410,2.691,2.512,1.078,5.593,16,1.78,3.271,90.85,3.016,4.993,0.7913,0.08873,18.38,15.68,3.424,0.005163,8.118,background,30/10/2017
0.0692,4.315,7.422,1509631840,2.927,2.144,1.358,4.016,16.09,1.85,5.08,70.38,1.822,4.939,2.037,0.08477,18.31,4.129,3.438,0.004882,6.313,background,30/10/2017
0.07171,4.168,3.226,1509637280,2.676,1.593,1.651,6.618,15.92,2.166,5.379,66.69,1.486,4.757,3.799,0.09317,18.29,2.936,3.592,0.006886,5.558,background,30/10/2017
0.07143,4.381,3.484,1509642716,2.713,1.68,1.487,4.69,16.59,1.945,4.525,72.22,1.605,5.08,2.859,0.08739,18.95,3.206,3.347,0.00517,6.234,background,30/10/2017
0.07186,4.29,3.266,1509648180,2.915,1.56,1.221,4.882,15.97,1.78,3.975,62.56,1.428,4.854,1.379,0.08781,18.07,2.422,3.507,0.005377,5.767,background,30/10/2017
0.07292,4.262,7.717,1509653604,3.025,2.466,1.712,5.024,16.36,2.098,6.402,102.4,2.278,5.182,4.582,0.09154,19.26,6.469,3.577,0.00638,10.02,background,30/10/2017
0.07505,4.546,23.86,1509659027,2.818,3.678,1.08,5.174,16.82,1.827,3.512,89.84,3.264,5.021,0.6087,0.09686,18.89,18.35,3.479,0.006334,8.556,background,30/10/2017
0.06818,4.294,18.18,1509664389,2.821,3.341,1.073,6.65,15.81,2.356,6.673,82.59,2.99,4.783,0.6416,0.08896,17.91,14.29,3.563,0.00608,7.751,background,30/10/2017
0.07407,4.25,16.07,1509669820,3.015,3.107,1.202,6.495,16.22,2.141,7.75,114.8,3.247,5.138,1.838,0.08762,19.29,18.73,3.747,0.005193,9.844,background,30/10/2017
0.075,4.411,3.932,1509675229,2.822,1.629,1.544,7.268,16.36,1.945,3.985,63.9,1.505,4.984,2.854,0.08959,18.67,3.111,3.665,0.005788,5.71,background,30/10/2017
0.06897,4.228,10.04,1509680603,3.089,2.535,1.108,5.149,16.16,1.433,2.418,80.9,2.247,4.932,0.9446,0.0895,18.7,7.034,3.729,0.005153,7.229,background,30/10/2017
0.07018,4.339,9.705,1509686010,2.868,2.616,1.25,4.945,16.44,2.307,7.329,92.29,2.678,5.127,2.015,0.08805,18.95,10.28,3.393,0.005216,8.572,background,30/10/2017
0.07512,4.285,8.317,1509691416,2.871,2.439,1.018,6.559,16.12,2.03,4.816,108.6,1.979,5.092,0.5074,0.09052,19.2,4.368,3.558,0.005669,9.543,background,30/10/2017
0.06306,4.395,4.606,1509696833,3.006,1.853,1.393,4.774,16.46,2.147,6.49,80.02,1.716,5.097,2.029,0.08158,18.98,3.646,3.554,0.005153,7.1,background,30/10/2017
0.06732,4.484,13.04,1509702220,2.671,2.578,1.429,5.266,16.92,1.912,4.44,103.1,2.787,5.273,2.184,0.08494,19.66,14.93,3.257,0.005793,8.706,background,30/10/2017
0.06695,4.25,4.928,1509707633,2.649,1.873,1.33,5.91,15.82,2.313,6.844,75.86,1.673,4.992,2.034,0.08639,18.59,3.175,3.411,0.005644,6.954,background,30/10/2017
0.0678,4.338,6.916,1509713042,2.873,2.261,1.391,5.672,16.21,2.16,5.279,93.08,2.705,5.14,3.096,0.08638,18.84,11.8,3.494,0.005149,8.289,background,30/10/2017
0.06808,4.596,3.505,1509718469,2.756,1.568,1.443,7.004,17.88,2.383,6.677,67.57,1.574,5.149,2.05,0.08702,19.46,3.449,3.558,0.005696,5.95,background,30/10/2017
0.07895,4.256,18.2,1509723884,2.857,3.505,2.149,6.446,16.69,2.306,7.883,130,2.89,5.212,9.568,0.09972,19.76,11.92,3.482,0.007979,12.84,background,30/10/2017
0.07561,4.515,3.502,1509729279,2.685,1.628,1.194,6.236,17.04,2.215,5.861,72.39,1.558,5.06,1.539,0.09164,18.87,3.739,3.406,0.00582,6.597,background,30/10/2017
