fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.06667,4.188,7.083,1509528776,2.888,1.995,1.87,4.822,16.21,1.759,3.57,65.03,1.737,4.832,5.567,0.0878,17.94,4.998,3.466,0.005681,6.113,background,30/10/2017
0.07719,4.166,3.967,1509534206,3.381,1.681,0.9587,6.666,16.2,1.69,3.66,53.15,1.302,4.783,0.4166,0.09213,18.17,2.033,3.924,0.005552,5.275,background,30/10/2017
0.07481,4.191,2.932,1509539616,3.177,1.457,1.291,5.364,15.76,1.627,3.03,65.87,1.627,4.84,1.524,0.09284,18.19,4.453,3.716,0.005562,5.754,background,30/10/2017
0.07229,4.347,0.8244,1509544990,3.079,1.021,1.181,7.214,16.02,1.973,5.256,62.92,1.488,4.746,1.325,0.09026,18.2,3.312,3.914,0.005794,4.31,background,30/10/2017
0.07447,4.206,8.565,1509550409,2.954,2.125,1.681,6.754,16.04,1.998,5.428,61.55,1.763,4.666,4.974,0.09526,17.76,5.54,3.645,0.006221,5.282,background,30/10/2017
0.07527,4.281,4.331,1509555846,2.729,1.791,0.8272,5.025,16.12,1.612,2.893,52.67,1.624,4.809,0.1716,0.08793,18.02,3.872,3.392,0.004261,4.982,background,30/10/2017
0.08032,4.176,10.49,1509561249,2.581,2.752,1.333,4.156,16.09,2.094,5.378,98.44,2.683,4.977,2.038,0.09307,18.85,10.22,3.133,0.00534,8.314,background,30/10/2017
0.06944,4.182,4.621,1509566653,2.678,1.708,1.365,4.449,15.76,1.935,4.712,57.89,1.608,4.741,2.066,0.08722,17.68,3.985,3.25,0.005197,5.274,background,30/10/2017
0.08,4.214,19.42,1509572054,2.778,3.532,1.291,5.527,16.52,2.217,6.539,114.5,3.371,5.058,2.075,0.09479,18.86,18.01,3.46,0.006065,10.93,background,30/10/2017
0.07778,4.169,7.364,1509577449,2.869,2.132,1.16,5.335,15.7,2.167,6.135,65.85,2.116,4.681,0.9811,0.09553,17.72,6.611,3.482,0.00545,5.648,background,30/10/2017
