runs,peaks
239,0.20194482
241,0.22510654
243,0.23007837
245,0.22746234
247,0.21792882
249,0.21947095
251,0.21819431
253,0.24454953
255,0.24628964
257,0.245715
259,0.23985409
260,0.23851584
262,0.23506297
264,0.23524303
266,0.2340714
269,0.23420827
271,0.2215961
273,0.22988016
275,0.25659675
277,0.2541816
280,0.25202861
282,0.25848082
284,0.25064637
286,0.23340739
288,0.22803694
290,0.22236644
292,0.23616278
294,0.23363424
296,0.23757959
300,0.25743007
302,0.2396138
304,0.23580693
