300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.21854,0,1,0.9091205,0.778,0.8,0.35035035,0.32183963,0.1986792,0.063942839,0.12365793,0.15894336,0.051154271,0.039798023
0.23891309,0,1,0.91497668,0.778,0.8,0.36036036,0.33035661,0.21859991,0.072215923,0.13605658,0.17487992,0.057772738,0.04494719
0.2605015,0,1,0.91994031,0.778,0.8,0.37037037,0.33887359,0.23964583,0.081209643,0.14915557,0.19171667,0.064967714,0.050544882
0.28343205,0,1,0.924458,0.778,0.8,0.38038038,0.34739057,0.26202102,0.091023631,0.16308188,0.20961682,0.072818905,0.056653108
0.3061823,0,1,0.92862316,0.778,0.8,0.39039039,0.35590755,0.28432797,0.10119447,0.17696573,0.22746238,0.080955577,0.062983439
0.328613,0,1,0.93247626,0.778,0.8,0.4004004,0.36429426,0.30642382,0.11162844,0.19071819,0.24513906,0.089302751,0.06947754
0.10394907,0,1,0.93603107,0.778,0.8,0.41041041,0.36955458,0.097299556,0.035957496,0.060559244,0.077839645,0.028765997,0.022379946
0.11775558,5.6312496e-310,1,0.9393355,0.778,0.8,0.42042042,0.37481489,0.110612,0.041459023,0.068844906,0.088489596,0.033167219,0.025804096
0.13209943,4.79501179e-293,1,0.94239277,0.778,0.8,0.43043043,0.38007521,0.12448955,0.047315391,0.077482295,0.099591638,0.037852313,0.029449099
0.14695283,2.21322911e-277,1,0.94535543,0.778,0.8,0.44044044,0.38533553,0.13892266,0.053531836,0.086465462,0.11113813,0.042825468,0.033318214
0.16218242,6.9859676e-263,1,0.94822814,0.778,0.8,0.45045045,0.39059585,0.15378594,0.060068148,0.095716367,0.12302875,0.048054518,0.037386415
0.17775584,2.1059794e-249,1,0.95089986,0.778,0.8,0.46046046,0.39585616,0.16902801,0.066910779,0.10520303,0.13522241,0.053528623,0.041645269
0.19382432,1.75354006e-236,1,0.95338909,0.778,0.8,0.47047047,0.40111648,0.18478999,0.074122311,0.11501329,0.14783199,0.059297849,0.046133726
0.21012818,2.34037535e-224,1,0.95569831,0.778,0.8,0.48048048,0.4063768,0.20081914,0.081608239,0.12498983,0.16065531,0.065286592,0.050792968
0.22655986,4.32868421e-213,1,0.95785746,0.778,0.8,0.49049049,0.41163711,0.21701205,0.089330216,0.1350683,0.17360964,0.071464173,0.055599126
0.24306693,1.37779844e-202,1,0.95989017,0.778,0.8,0.5005005,0.41661354,0.23331756,0.097203255,0.14521685,0.18665405,0.077762604,0.060499306
0.25957046,8.73265347e-193,1,0.96181929,0.778,0.8,0.51051051,0.41619603,0.24965987,0.10390745,0.1553883,0.1997279,0.083125958,0.064671995
0.27598829,1.15678951e-183,1,0.96363208,0.778,0.8,0.52052052,0.41577852,0.26595117,0.11057678,0.16552801,0.21276094,0.088461427,0.068822991
0.2923182,3.93347867e-175,1,0.96532395,0.778,0.8,0.53053053,0.41536101,0.28218176,0.1172073,0.17562993,0.22574541,0.093765843,0.072949826
0.30851943,3.845567e-167,1,0.96690459,0.778,0.8,0.54054054,0.41494351,0.29830885,0.12378132,0.18566743,0.23864708,0.099025057,0.077041494
0.32455439,1.19153809e-159,1,0.96838635,0.778,0.8,0.55055055,0.414526,0.31429405,0.13028305,0.19561661,0.25143524,0.10422644,0.081088172
0.34038992,1.27707099e-152,1,0.96980125,0.778,0.8,0.56056056,0.41410849,0.33011057,0.13670159,0.20546082,0.26408846,0.10936127,0.085083069
0.35649623,5.13054126e-146,1,0.97114778,0.778,0.8,0.57057057,0.41369098,0.34621052,0.14322417,0.21548143,0.27696842,0.11457934,0.089142724
0.37270503,8.30951409e-140,1,0.97242772,0.778,0.8,0.58058058,0.41327347,0.3624287,0.14978217,0.22557562,0.28994296,0.11982573,0.093224421
0.38887841,9.38193931e-134,1,0.97363455,0.778,0.8,0.59059059,0.41285596,0.37862546,0.15631778,0.23565648,0.30290036,0.12505422,0.097292185
0.40489375,6.13862926e-128,1,0.97477211,0.778,0.8,0.6006006,0.41260735,0.39467914,0.16284751,0.2456483,0.31574331,0.13027801,0.10135629
0.42058217,1.82347231e-122,1,0.97584364,0.778,0.8,0.61061061,0.41500473,0.41042244,0.17032725,0.25544693,0.32833795,0.1362618,0.10601168
0.43592867,2.60444377e-117,1,0.97685447,0.778,0.8,0.62062062,0.41740211,0.42583887,0.17774604,0.26504211,0.34067109,0.14219683,0.11062914
0.45092492,1.88630559e-112,1,0.97781449,0.778,0.8,0.63063063,0.4197995,0.44092092,0.18509838,0.27442918,0.35273674,0.1480787,0.11520523
0.46556332,7.27884346e-108,1,0.97873982,0.778,0.8,0.64064064,0.42219688,0.45566536,0.19238049,0.28360612,0.36453229,0.1539044,0.11973762
0.47983912,1.56215296e-103,1,0.97963491,0.778,0.8,0.65065065,0.42459426,0.47006716,0.19958782,0.2925698,0.37605373,0.15967025,0.12422346
0.4937506,1.94661945e-99,1,0.98049147,0.778,0.8,0.66066066,0.42699164,0.48411825,0.20671445,0.3013152,0.3872946,0.16537156,0.12865907
0.50729585,1.45551087e-95,1,0.9812939,0.778,0.8,0.67067067,0.42938903,0.49780632,0.21375257,0.30983465,0.39824506,0.17100206,0.1330396
