rate,rateTime,chip
56.06888889,1.492487945e+09,0
64.87111111,1.4924897455e+09,0
74.52111111,1.4924915455e+09,0
76.52055556,1.4924933455e+09,0
76.95888889,1.4924951455e+09,0
65.46722222,1.492496946e+09,0
63.05277778,1.4924987455e+09,0
56.46555556,1.492500546e+09,0
62.74388889,1.4925023455e+09,0
55.98777778,1.492504146e+09,0
64.02944444,1.4925059455e+09,0
66.89777778,1.492507746e+09,0
51.74444444,1.4925095455e+09,0
70.425,1.492511346e+09,0
46.61188229,1.492513146e+09,0
16.58777778,1.492514946e+09,0
13.37111111,1.492516746e+09,0
13.16,1.492518547e+09,0
15.16166667,1.4925203465e+09,0
19.64944444,1.492522146e+09,0
12.99777778,1.492523946e+09,0
12.51833333,1.4925257465e+09,0
16.89888889,1.492527546e+09,0
18.975,1.4925293465e+09,0
12.15388889,1.4925311465e+09,0
12.05216426,1.4925329475e+09,0
22.89277778,1.4925347485e+09,0
16.12388889,1.4925365485e+09,0
16.32722222,1.4925383485e+09,0
11.79511383,1.492540149e+09,0
14.14166667,1.4925419495e+09,0
11.34666667,1.4925437495e+09,0
11.57555556,1.492545549e+09,0
18.01777778,1.492547349e+09,0
11.22333333,1.492549149e+09,0
11.29555556,1.492550949e+09,0
13.30594114,1.4925527495e+09,0
67.07111111,1.492487945e+09,1
82.84722222,1.4924897455e+09,1
94.17111111,1.4924915455e+09,1
90.59166667,1.4924933455e+09,1
97.46222222,1.4924951455e+09,1
89.18666667,1.492496946e+09,1
84.95277778,1.4924987455e+09,1
78.58833333,1.492500545e+09,1
85.57666667,1.4925023455e+09,1
80.05,1.492504145e+09,1
86.91388889,1.4925059455e+09,1
95.55222222,1.492507746e+09,1
75.15944444,1.4925095455e+09,1
94.38222222,1.492511346e+09,1
68.01054969,1.4925131455e+09,1
22.84277778,1.492514946e+09,1
18.75,1.492516746e+09,1
18.325,1.492518546e+09,1
20.15777778,1.492520346e+09,1
24.88222222,1.492522146e+09,1
17.33944444,1.4925239465e+09,1
17.18166667,1.4925257465e+09,1
21.67666667,1.492527546e+09,1
23.58666667,1.4925293465e+09,1
16.55277778,1.492531146e+09,1
16.55469184,1.4925329465e+09,1
25.76833333,1.492534747e+09,1
23.1521377,1.4925365475e+09,1
20.77888889,1.492538348e+09,1
15.87007218,1.492540149e+09,1
17.98277778,1.4925419495e+09,1
16.17222222,1.492543749e+09,1
15.67722222,1.492545549e+09,1
22.13388889,1.4925473495e+09,1
15.48277778,1.492549149e+09,1
15.29277778,1.492550949e+09,1
17.66888889,1.4925527495e+09,1
14.28777778,1.492487944e+09,2
14.54242928,1.49248975e+09,2
25.13374029,1.4924915525e+09,2
19.60444444,1.49249335e+09,2
26.40133038,1.492495156e+09,2
19.59133815,1.4924969605e+09,2
12.77555556,1.4924987565e+09,2
5.862777778,1.4925005555e+09,2
14.92955421,1.492502363e+09,2
7.963908939,1.492504174e+09,2
21.94222222,1.49250598e+09,2
19.60399334,1.492507776e+09,2
7.956208426,1.492509578e+09,2
21.94169906,1.492511382e+09,2
8.012188366,1.4925131835e+09,2
2.567627494,1.492514993e+09,2
0.378746594,1.492516809e+09,2
0.2998334259,1.492518627e+09,2
