Type,Temperature,DateTime,Timestamp
IMB,37.4618,2017-04-18.05:53:37,1492487617
IMB,37.471,2017-04-18.05:53:43,1492487623
IMB,37.5295,2017-04-18.05:53:48,1492487628
IMB,37.5757,2017-04-18.05:53:54,1492487634
IMB,37.5973,2017-04-18.05:54:00,1492487640
IMB,37.6234,2017-04-18.05:54:05,1492487645
IMB,37.6388,2017-04-18.05:54:11,1492487651
IMB,37.6388,2017-04-18.05:54:16,1492487656
IMB,37.6573,2017-04-18.05:54:22,1492487662
IMB,37.6804,2017-04-18.05:54:27,1492487667
IMB,37.6866,2017-04-18.05:54:33,1492487673
IMB,37.7266,2017-04-18.05:54:38,1492487678
IMB,37.7358,2017-04-18.05:54:44,1492487684
IMB,37.7466,2017-04-18.05:54:49,1492487689
IMB,37.7189,2017-04-18.05:54:55,1492487695
IMB,37.7759,2017-04-18.05:55:01,1492487701
IMB,37.7759,2017-04-18.05:55:06,1492487706
IMB,37.8036,2017-04-18.05:55:12,1492487712
IMB,37.8482,2017-04-18.05:55:17,1492487717
IMB,37.8452,2017-04-18.05:55:23,1492487723
IMB,37.8806,2017-04-18.05:55:28,1492487728
IMB,37.8898,2017-04-18.05:55:34,1492487734
IMB,37.8452,2017-04-18.05:55:39,1492487739
IMB,37.8682,2017-04-18.05:55:45,1492487745
IMB,37.9037,2017-04-18.05:55:50,1492487750
IMB,37.9145,2017-04-18.05:55:56,1492487756
IMB,37.9222,2017-04-18.05:56:02,1492487762
IMB,37.9206,2017-04-18.05:56:07,1492487767
IMB,37.9422,2017-04-18.05:56:13,1492487773
IMB,37.9514,2017-04-18.05:56:18,1492487778
IMB,37.9899,2017-04-18.05:56:24,1492487784
IMB,37.9899,2017-04-18.05:56:29,1492487789
IMB,38.0115,2017-04-18.05:56:35,1492487795
IMB,38.0192,2017-04-18.05:56:40,1492487800
IMB,38.0269,2017-04-18.05:56:46,1492487806
IMB,38.0254,2017-04-18.05:56:51,1492487811
IMB,38.0607,2017-04-18.05:56:57,1492487817
IMB,38.0746,2017-04-18.05:57:03,1492487823
IMB,38.1131,2017-04-18.05:57:08,1492487828
IMB,38.1239,2017-04-18.05:57:14,1492487834
IMB,38.1085,2017-04-18.05:57:19,1492487839
IMB,38.1347,2017-04-18.05:57:25,1492487845
IMB,38.1562,2017-04-18.05:57:30,1492487850
IMB,38.1424,2017-04-18.05:57:36,1492487856
IMB,38.1639,2017-04-18.05:57:41,1492487861
IMB,38.204,2017-04-18.05:57:47,1492487867
IMB,38.2486,2017-04-18.05:57:52,1492487872
IMB,38.2394,2017-04-18.05:57:58,1492487878
IMB,38.2348,2017-04-18.05:58:03,1492487883
IMB,38.2425,2017-04-18.05:58:09,1492487889
IMB,38.2733,2017-04-18.05:58:14,1492487894
IMB,38.3395,2017-04-18.05:58:20,1492487900
IMB,38.284,2017-04-18.05:58:26,1492487906
IMB,38.281,2017-04-18.05:58:31,1492487911
IMB,38.3148,2017-04-18.05:58:37,1492487917
IMB,38.281,2017-04-18.05:58:42,1492487922
IMB,38.2825,2017-04-18.05:58:48,1492487928
IMB,38.2979,2017-04-18.05:58:53,1492487933
IMB,38.3272,2017-04-18.05:58:59,1492487939
IMB,38.3056,2017-04-18.05:59:04,1492487944
IMB,38.3164,2017-04-18.05:59:10,1492487950
IMB,38.3333,2017-04-18.05:59:15,1492487955
IMB,38.3195,2017-04-18.05:59:21,1492487961
IMB,38.2317,2017-04-18.05:59:26,1492487966
IMB,38.2902,2017-04-18.05:59:32,1492487972
IMB,38.3426,2017-04-18.05:59:37,1492487977
IMB,38.3256,2017-04-18.05:59:43,1492487983
IMB,38.3426,2017-04-18.05:59:49,1492487989
IMB,38.3688,2017-04-18.05:59:54,1492487994
IMB,38.3657,2017-04-18.06:00:00,1492488000
IMB,38.4103,2017-04-18.06:00:05,1492488005
IMB,38.4011,2017-04-18.06:00:11,1492488011
IMB,38.3965,2017-04-18.06:00:16,1492488016
IMB,38.4042,2017-04-18.06:00:22,1492488022
IMB,38.4319,2017-04-18.06:00:27,1492488027
IMB,38.418,2017-04-18.06:00:33,1492488033
IMB,38.398,2017-04-18.06:00:38,1492488038
IMB,38.4412,2017-04-18.06:00:44,1492488044
IMB,38.4796,2017-04-18.06:00:49,1492488049
IMB,38.4981,2017-04-18.06:00:55,1492488055
IMB,38.5197,2017-04-18.06:01:00,1492488060
IMB,38.5289,2017-04-18.06:01:06,1492488066
IMB,38.5428,2017-04-18.06:01:11,1492488071
IMB,38.5505,2017-04-18.06:01:17,1492488077
IMB,38.5505,2017-04-18.06:01:23,1492488083
IMB,38.5412,2017-04-18.06:01:28,1492488088
IMB,38.5951,2017-04-18.06:01:34,1492488094
IMB,38.6229,2017-04-18.06:01:39,1492488099
IMB,38.629,2017-04-18.06:01:45,1492488105
IMB,38.629,2017-04-18.06:01:50,1492488110
