limits,candsInSens
7.52917911e-23,1
7.40031012e-23,1
8.0110335e-23,2
7.75006299e-23,1
9.72051462e-23,3
8.50141982e-23,1
6.86719955e-23,0
7.03998472e-23,2
7.71849294e-23,0
8.54984136e-23,2
8.4399839e-23,1
8.14142875e-23,2
9.83752151e-23,1
6.99349017e-23,1
8.41890308e-23,2
7.75732473e-23,1
8.7079006e-23,1
7.48499925e-23,1
7.48489304e-23,0
6.85682978e-23,0
7.7565626e-23,1
7.81935126e-23,1
7.38393191e-23,0
1.03356419e-22,2
6.5777917e-23,0
7.24698989e-23,0
7.82480262e-23,1
6.92127287e-23,1
7.58560562e-23,1
7.96710203e-23,1
8.28932198e-23,1
6.8452096e-23,0
7.2953583e-23,0
7.74565068e-23,1
8.2066408e-23,1
6.56676302e-23,0
1.00611879e-22,3
8.86445414e-23,1
6.90503647e-23,0
6.98710222e-23,0
8.4763832e-23,1
7.71231426e-23,1
1.02660463e-22,3
1.17783758e-22,5
7.82162642e-23,1
7.4159452e-23,0
9.03017185e-23,3
7.84760741e-23,0
7.47344936e-23,0
7.50833314e-23,1
6.9330148e-23,0
9.2738539e-23,2
9.08894356e-23,2
7.47494116e-23,0
6.93580837e-23,0
8.08749284e-23,1
8.49278775e-23,1
8.0711136e-23,1
1.07733431e-22,4
8.42440191e-23,1
7.60022237e-23,0
7.63754438e-23,1
7.45691832e-23,0
7.22844485e-23,0
7.52442517e-23,1
7.92008823e-23,1
7.55543743e-23,1
9.1179187e-23,4
6.85539143e-23,0
9.07655826e-23,2
9.10132755e-23,3
6.91287067e-23,0
9.26341756e-23,1
9.5986369e-23,2
8.07817817e-23,2
7.42361836e-23,1
8.67678631e-23,2
7.27679791e-23,1
7.58012583e-23,1
6.62614055e-23,0
9.28110047e-23,2
7.0791928e-23,0
8.22184324e-23,1
6.6868609e-23,0
7.0336416e-23,0
7.14532635e-23,1
1.02291241e-22,3
7.19332112e-23,1
7.23717485e-23,0
7.12068451e-23,0
7.35113125e-23,1
6.91705391e-23,0
6.69812102e-23,0
8.28546234e-23,0
7.28786292e-23,0
9.34057061e-23,2
6.94804155e-23,0
