limits,candsInSens
1.21642029e+42,1
1.01810735e+42,1
1.15355558e+42,2
1.07998986e+42,1
2.53717819e+42,2
1.00824668e+42,0
1.87511319e+42,3
1.36941732e+42,0
1.90934611e+42,2
2.0207826e+42,2
1.79878098e+42,4
1.60018762e+42,1
1.42181787e+42,4
1.49080929e+42,0
1.6026163e+42,1
1.79553047e+42,2
1.96511751e+42,1
1.1769957e+42,1
2.6139316e+42,6
2.25093133e+42,4
2.00612301e+42,5
1.21493059e+42,0
1.57993446e+42,3
1.59198057e+42,2
1.77427839e+42,1
1.05131333e+42,2
2.99700618e+42,3
1.19141584e+42,1
1.29446795e+42,0
3.45714752e+42,2
1.64699192e+42,2
1.72577702e+42,4
2.04806708e+42,1
9.22415904e+41,1
1.68456924e+42,1
1.8974173e+42,1
1.68339929e+42,2
1.04998742e+42,0
1.01162965e+42,1
1.44550127e+42,3
1.28303614e+42,2
1.77437413e+42,0
9.84818241e+41,2
2.06089744e+42,1
2.28252826e+42,1
1.3455814e+42,3
1.22112934e+42,1
1.76582775e+42,1
2.8069528e+42,3
2.07653978e+42,2
2.25816631e+42,4
2.58115072e+42,5
1.69134893e+42,1
1.66170249e+42,5
1.80073134e+42,1
2.14186037e+42,3
1.27203159e+42,0
1.81071336e+42,1
2.17820143e+42,6
2.37633039e+42,3
2.07546698e+42,4
1.90010495e+42,3
1.93255974e+42,2
1.45005128e+42,2
1.10419405e+42,0
1.40432102e+42,1
1.9845726e+42,1
1.89647689e+42,2
2.72615265e+42,5
1.13620854e+42,2
2.7449966e+42,2
1.15660191e+42,1
1.30394691e+42,1
1.35865137e+42,0
1.52057119e+42,1
1.70343533e+42,3
2.73177238e+42,3
1.64324742e+42,1
1.7156169e+42,4
1.92491737e+42,2
1.86529503e+42,2
1.37070048e+42,2
1.94077326e+42,2
2.07919425e+42,6
1.51008423e+42,0
2.65475146e+42,2
1.15329432e+42,0
1.08577171e+42,1
2.21849284e+42,4
1.53938839e+42,2
1.21094528e+42,2
1.45031895e+42,1
1.37701536e+42,0
1.34511745e+42,0
2.30601603e+42,3
1.52908023e+42,1
1.92095925e+42,3
1.62871531e+42,1
1.5584384e+42,2
1.46667687e+42,2
2.67590884e+42,5
3.76767972e+42,5
1.26631316e+42,2
1.99318046e+42,3
1.39078941e+42,2
3.00270873e+42,3
1.41427092e+42,1
2.56611256e+42,2
2.04284586e+42,3
1.36713406e+42,2
1.25016498e+42,0
1.79943351e+42,2
2.64570129e+42,5
1.11204815e+42,1
1.96183989e+42,3
1.50525051e+42,2
1.09271946e+42,1
1.64641908e+42,3
1.72867398e+42,3
2.27274565e+42,3
1.80371595e+42,3
1.98496365e+42,2
2.93522449e+42,5
1.80811511e+42,1
1.39136368e+42,2
1.4315174e+42,1
1.19255085e+42,2
1.52545438e+42,1
2.29711931e+42,5
1.99600599e+42,3
2.70885767e+42,2
1.26696917e+42,0
2.36019085e+42,2
1.49314256e+42,0
1.53700141e+42,3
2.47800909e+42,4
1.50882655e+42,0
1.57995093e+42,0
1.03092425e+42,0
1.38063766e+42,0
2.11666138e+42,2
1.16946628e+42,3
1.77965469e+42,2
2.52112693e+42,3
1.82525925e+42,2
1.91185546e+42,0
1.48187286e+42,2
1.55334452e+42,1
1.26951389e+42,2
2.85057773e+42,4
1.30433979e+42,0
4.17577634e+42,7
3.04819216e+42,3
1.90565218e+42,2
1.99573228e+42,4
1.77300491e+42,4
1.08043849e+42,0
1.523418e+42,2
2.94344974e+42,4
1.61407173e+42,3
1.07480316e+42,0
1.30270428e+42,1
1.32660459e+42,0
1.82100538e+42,1
1.57569183e+42,1
1.23240125e+42,1
3.37917743e+42,4
2.38435431e+42,2
1.65432277e+42,2
1.40319362e+42,0
9.64068296e+41,1
2.53214261e+42,2
1.78595339e+42,3
1.67265884e+42,1
1.65082727e+42,0
1.24360433e+42,3
1.00753425e+42,0
2.83159534e+42,5
2.30626049e+42,2
2.43456936e+42,2
2.30994424e+42,4
9.76519938e+41,1
1.09761256e+42,2
1.69821006e+42,4
1.90334872e+42,3
1.55425458e+42,3
9.98188263e+41,2
2.13296469e+42,3
1.37050769e+42,2
1.76361683e+42,2
1.41389069e+42,1
1.66854523e+42,2
1.47948232e+42,2
1.72457663e+42,0
1.47098532e+42,3
1.4089968e+42,1
1.55915132e+42,1
1.38870591e+42,1
1.45549977e+42,1
1.78958482e+42,3
1.64739612e+42,3
2.28555398e+42,2
1.35603006e+42,2
1.7785999e+42,2
2.74349464e+42,3
1.91058183e+42,2
1.97043101e+42,1
1.86816877e+42,4
3.13792768e+42,6
1.95422435e+42,2
1.5004253e+42,0
1.57777868e+42,2
1.19912698e+42,0
2.56382896e+42,2
1.47783777e+42,2
1.668841e+42,3
1.54977479e+42,3
1.19878919e+42,1
1.91074037e+42,2
1.28947427e+42,1
1.1214905e+42,0
2.27448434e+42,2
1.24199161e+42,2
1.98075206e+42,4
1.32422146e+42,2
1.69956958e+42,3
1.35420366e+42,0
2.0886589e+42,1
2.70805069e+42,3
2.75694848e+42,3
1.34819572e+42,0
4.23441705e+42,4
