xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.73150331,72.485935,0
0.73206041,72.679651,0
0.73261751,72.87293,0
0.73317461,73.065764,0
0.73373171,73.258148,0
0.73428881,73.450075,0
0.73484591,73.641539,0
0.735403,73.832534,0
0.7359601,74.023053,0
0.7365172,74.213091,0
0.7370743,74.402641,0
0.7376314,74.591696,0
0.7381885,74.780251,0
0.7387456,74.9683,0
0.7393027,75.155836,0
0.73985979,75.342853,0
0.74041689,75.529344,0
0.74097399,75.715304,0
0.74153109,75.900727,0
0.74208819,76.085606,0
0.74264529,76.269935,0
0.74320239,76.453707,0
0.74375948,76.636918,0
0.74431658,76.81956,0
0.74487368,77.001627,0
0.74543078,77.183113,0
0.74598788,77.364013,0
0.74654498,77.54432,0
0.74710208,77.724027,0
0.74765917,77.903129,0
0.74821627,78.08162,0
0.74877337,78.259494,0
0.74933047,78.436744,0
0.74988757,78.613364,0
0.75044467,78.789349,0
0.75100177,78.964692,0
0.75155886,79.139387,0
0.75211596,79.313429,0
0.75267306,79.486811,0
0.75323016,79.659527,0
0.75378726,79.831571,0
0.75434436,80.002938,0
0.75490146,80.173621,0
0.75545855,80.343615,0
0.75601565,80.512913,0
0.75657275,80.681509,0
0.75712985,80.849399,0
0.75768695,81.016575,0
0.75824405,81.183032,0
0.75880115,81.348764,0
0.75935824,81.513765,0
0.75991534,81.67803,0
0.76047244,81.841553,0
0.76102954,82.004327,0
0.76158664,82.166348,0
0.76214374,82.327609,0
0.76270084,82.488104,0
0.76325794,82.647829,0
0.76381503,82.806776,0
0.76437213,82.964942,0
0.76492923,83.122319,0
0.76548633,83.278903,0
0.76604343,83.434687,0
0.76660053,83.589666,0
0.76715763,83.743835,0
0.76771472,83.897188,0
0.76827182,84.04972,0
0.76882892,84.201424,0
0.76938602,84.352296,0
0.76994312,84.50233,0
0.77050022,84.651521,0
0.77105732,84.799863,0
0.77161441,84.94735,0
0.77217151,85.093979,0
0.77272861,85.239742,0
0.77328571,85.384635,0
0.77384281,85.528653,0
0.77439991,85.67179,0
0.77495701,85.814042,0
0.7755141,85.955402,0
0.7760712,86.095866,0
0.7766283,86.235428,0
0.7771854,86.374084,0
0.7777425,86.511828,0
0.7782996,86.648655,0
0.7788567,86.784561,0
0.77941379,86.919539,0
0.77997089,87.053586,0
0.78052799,87.186697,0
0.78108509,87.318865,0
0.78164219,87.450087,0
0.78219929,87.580358,0
0.78275639,87.709672,0
0.78331349,87.838025,0
0.78387058,87.965412,0
