xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.84390166,148.08994,0
0.84434566,148.27881,0
0.84478967,148.46642,0
0.84523367,148.65274,0
0.84567767,148.83779,0
0.84612167,149.02154,0
0.84656567,149.20401,0
0.84700968,149.38518,0
0.84745368,149.56504,0
0.84789768,149.7436,0
0.84834168,149.92085,0
0.84878568,150.09677,0
0.84922968,150.27137,0
0.84967369,150.44465,0
0.85011769,150.61659,0
0.85056169,150.78719,0
0.85100569,150.95645,0
0.85144969,151.12436,0
0.8518937,151.29092,0
0.8523377,151.45612,0
0.8527817,151.61995,0
0.8532257,151.78242,0
0.8536697,151.94351,0
0.85411371,152.10323,0
0.85455771,152.26156,0
0.85500171,152.41851,0
0.85544571,152.57407,0
0.85588971,152.72823,0
0.85633372,152.88099,0
0.85677772,153.03234,0
0.85722172,153.18229,0
0.85766572,153.33082,0
0.85810972,153.47793,0
0.85855373,153.62362,0
0.85899773,153.76788,0
0.85944173,153.91071,0
0.85988573,154.05211,0
0.86032973,154.19206,0
0.86077373,154.33057,0
0.86121774,154.46763,0
0.86166174,154.60325,0
0.86210574,154.7374,0
0.86254974,154.87009,0
0.86299374,155.00132,0
0.86343775,155.13109,0
0.86388175,155.25938,0
0.86432575,155.38619,0
0.86476975,155.51153,0
0.86521375,155.63538,0
0.86565776,155.75774,0
0.86610176,155.87861,0
0.86654576,155.99799,0
0.86698976,156.11587,0
0.86743376,156.23225,0
0.86787777,156.34713,0
0.86832177,156.46049,0
0.86876577,156.57235,0
0.86920977,156.68269,0
0.86965377,156.79151,0
0.87009778,156.89881,0
0.87054178,157.00458,0
0.87098578,157.10883,0
0.87142978,157.21154,0
0.87187378,157.31272,0
0.87231778,157.41237,0
0.87276179,157.51047,0
0.87320579,157.60703,0
0.87364979,157.70204,0
0.87409379,157.79551,0
0.87453779,157.88742,0
0.8749818,157.97777,0
0.8754258,158.06657,0
0.8758698,158.15381,0
0.8763138,158.23949,0
0.8767578,158.3236,0
0.87720181,158.40614,0
0.87764581,158.48712,0
0.87808981,158.56652,0
0.87853381,158.64434,0
0.87897781,158.72059,0
0.87942182,158.79526,0
0.87986582,158.86834,0
0.88030982,158.93984,0
0.88075382,159.00975,0
0.88119782,159.07808,0
0.88164183,159.14481,0
0.88208583,159.20995,0
0.88252983,159.2735,0
0.88297383,159.33545,0
0.88341783,159.3958,0
0.88386183,159.45455,0
0.88430584,159.5117,0
0.88474984,159.56724,0
0.88519384,159.62118,0
0.88563784,159.67351,0
0.88608184,159.72423,0
0.88652585,159.77335,0
0.88696985,159.82085,0
0.88741385,159.86673,0
0.88785785,159.911,0
0.88830185,159.95366,0
0.88874586,159.9947,0
0.88918986,160.03412,0
0.88963386,160.07192,0
0.89007786,160.10809,0
0.89052186,160.14265,0
0.89096587,160.17558,0
0.89140987,160.20689,0
0.89185387,160.23658,0
0.89229787,160.26463,0
0.89274187,160.29106,0
0.89318587,160.31587,0
0.89362988,160.33904,0
0.89407388,160.36059,0
0.89451788,160.3805,0
0.89496188,160.39879,0
0.89540588,160.41544,0
0.89584989,160.43046,0
0.89629389,160.44385,0
0.89673789,160.45561,0
0.89718189,160.46573,0
0.89762589,160.47423,0
0.8980699,160.48108,0
0.8985139,160.48631,0
0.8989579,160.4899,0
0.8994019,160.49186,0
0.8998459,160.49218,0
0.90028991,160.49087,0
0.90073391,160.48793,0
0.90117791,160.48335,0
0.90162191,160.47714,0
0.90206591,160.46929,0
0.90250992,160.45982,0
0.90295392,160.4487,0
0.90339792,160.43596,0
0.90384192,160.42158,0
0.90428592,160.40558,0
0.90472992,160.38794,0
0.90517393,160.36867,0
0.90561793,160.34777,0
0.90606193,160.32524,0
0.90650593,160.30108,0
0.90694993,160.2753,0
0.90739394,160.24788,0
0.90783794,160.21884,0
0.90828194,160.18818,0
0.90872594,160.15589,0
0.90916994,160.12198,0
0.90961395,160.08644,0
0.91005795,160.04928,0
0.91050195,160.01051,0
0.91094595,159.97011,0
0.91138995,159.92809,0
0.91183396,159.88446,0
0.91227796,159.83922,0
0.91272196,159.79236,0
0.91316596,159.74388,0
0.91360996,159.6938,0
0.91405397,159.6421,0
0.91449797,159.5888,0
0.91494197,159.53389,0
0.91538597,159.47738,0
0.91582997,159.41926,0
0.91627397,159.35955,0
0.91671798,159.29823,0
0.91716198,159.23532,0
0.91760598,159.17081,0
0.91804998,159.1047,0
0.91849398,159.03701,0
0.91893799,158.96772,0
0.91938199,158.89685,0
0.91982599,158.8244,0
0.92026999,158.75035,0
0.92071399,158.67473,0
0.921158,158.59753,0
0.921602,158.51876,0
0.922046,158.43841,0
0.92249,158.35649,0
0.922934,158.273,0
0.92337801,158.18794,0
0.92382201,158.10132,0
0.92426601,158.01314,0
0.92471001,157.9234,0
0.92515401,157.8321,0
0.92559801,157.73925,0
0.92604202,157.64485,0
0.92648602,157.5489,0
0.92693002,157.45141,0
0.92737402,157.35238,0
0.92781802,157.25181,0
0.92826203,157.1497,0
0.92870603,157.04606,0
0.92915003,156.94089,0
0.92959403,156.8342,0
0.93003803,156.72598,0
0.93048204,156.61624,0
0.93092604,156.50498,0
0.93137004,156.39222,0
0.93181404,156.27794,0
0.93225804,156.16215,0
0.93270205,156.04487,0
0.93314605,155.92608,0
0.93359005,155.8058,0
0.93403405,155.68403,0
0.93447805,155.56076,0
0.93492206,155.43602,0
0.93536606,155.30979,0
