xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.87482283,106.50646,0
0.87523928,106.61885,0
0.87565573,106.73041,0
0.87607218,106.84116,0
0.87648863,106.95108,0
0.87690509,107.06017,0
0.87732154,107.16843,0
0.87773799,107.27585,0
0.87815444,107.38244,0
0.87857089,107.48819,0
0.87898734,107.5931,0
0.87940379,107.69717,0
0.87982024,107.80038,0
0.88023669,107.90275,0
0.88065314,108.00426,0
0.88106959,108.10492,0
0.88148604,108.20473,0
0.88190249,108.30367,0
0.88231894,108.40175,0
0.88273539,108.49896,0
0.88315184,108.59531,0
0.88356829,108.69079,0
0.88398474,108.78539,0
0.88440119,108.87912,0
0.88481764,108.97197,0
0.88523409,109.06395,0
0.88565055,109.15504,0
0.886067,109.24524,0
0.88648345,109.33456,0
0.8868999,109.42299,0
0.88731635,109.51053,0
0.8877328,109.59718,0
0.88814925,109.68293,0
0.8885657,109.76778,0
0.88898215,109.85173,0
0.8893986,109.93478,0
0.88981505,110.01693,0
0.8902315,110.09817,0
0.89064795,110.1785,0
0.8910644,110.25791,0
0.89148085,110.33642,0
0.8918973,110.41401,0
0.89231375,110.49069,0
0.8927302,110.56644,0
0.89314665,110.64128,0
0.8935631,110.71519,0
0.89397955,110.78818,0
0.89439601,110.86024,0
0.89481246,110.93137,0
0.89522891,111.00157,0
0.89564536,111.07084,0
0.89606181,111.13918,0
0.89647826,111.20658,0
0.89689471,111.27304,0
0.89731116,111.33857,0
0.89772761,111.40315,0
0.89814406,111.46679,0
0.89856051,111.52949,0
0.89897696,111.59124,0
0.89939341,111.65204,0
0.89980986,111.71189,0
0.90022631,111.7708,0
0.90064276,111.82875,0
0.90105921,111.88575,0
0.90147566,111.94179,0
0.90189211,111.99687,0
0.90230856,112.051,0
0.90272501,112.10417,0
0.90314147,112.15638,0
0.90355792,112.20762,0
0.90397437,112.25791,0
0.90439082,112.30722,0
0.90480727,112.35557,0
0.90522372,112.40296,0
0.90564017,112.44937,0
0.90605662,112.49482,0
0.90647307,112.53929,0
0.90688952,112.58279,0
0.90730597,112.62532,0
0.90772242,112.66687,0
0.90813887,112.70745,0
0.90855532,112.74705,0
0.90897177,112.78568,0
0.90938822,112.82332,0
0.90980467,112.85999,0
0.91022112,112.89567,0
0.91063757,112.93038,0
0.91105402,112.9641,0
0.91147047,112.99683,0
0.91188693,113.02859,0
0.91230338,113.05936,0
0.91271983,113.08914,0
0.91313628,113.11793,0
0.91355273,113.14574,0
0.91396918,113.17256,0
0.91438563,113.19839,0
0.91480208,113.22323,0
0.91521853,113.24709,0
0.91563498,113.26995,0
0.91605143,113.29181,0
0.91646788,113.31269,0
0.91688433,113.33258,0
0.91730078,113.35147,0
0.91771723,113.36937,0
0.91813368,113.38627,0
0.91855013,113.40218,0
0.91896658,113.41709,0
0.91938303,113.43101,0
0.91979948,113.44393,0
0.92021593,113.45586,0
0.92063239,113.46679,0
0.92104884,113.47673,0
0.92146529,113.48567,0
0.92188174,113.49361,0
0.92229819,113.50055,0
0.92271464,113.50649,0
0.92313109,113.51144,0
0.92354754,113.51539,0
0.92396399,113.51834,0
0.92438044,113.5203,0
0.92479689,113.52125,0
0.92521334,113.52121,0
0.92562979,113.52017,0
0.92604624,113.51813,0
0.92646269,113.5151,0
0.92687914,113.51106,0
0.92729559,113.50603,0
0.92771204,113.5,0
0.92812849,113.49298,0
0.92854494,113.48495,0
0.92896139,113.47593,0
0.92937785,113.46591,0
0.9297943,113.4549,0
0.93021075,113.44289,0
0.9306272,113.42988,0
0.93104365,113.41588,0
0.9314601,113.40088,0
0.93187655,113.38489,0
0.932293,113.3679,0
0.93270945,113.34992,0
0.9331259,113.33094,0
0.93354235,113.31098,0
0.9339588,113.29002,0
0.93437525,113.26806,0
0.9347917,113.24512,0
0.93520815,113.22119,0
0.9356246,113.19626,0
0.93604105,113.17035,0
0.9364575,113.14344,0
0.93687395,113.11555,0
0.9372904,113.08667,0
0.93770685,113.05681,0
0.93812331,113.02596,0
0.93853976,112.99412,0
0.93895621,112.9613,0
0.93937266,112.9275,0
0.93978911,112.89271,0
0.94020556,112.85695,0
0.94062201,112.8202,0
0.94103846,112.78247,0
0.94145491,112.74376,0
0.94187136,112.70408,0
0.94228781,112.66342,0
0.94270426,112.62179,0
0.94312071,112.57918,0
0.94353716,112.53559,0
0.94395361,112.49104,0
0.94437006,112.44551,0
0.94478651,112.39901,0
0.94520296,112.35155,0
0.94561941,112.30312,0
0.94603586,112.25372,0
0.94645231,112.20336,0
0.94686877,112.15203,0
0.94728522,112.09974,0
0.94770167,112.04649,0
0.94811812,111.99228,0
0.94853457,111.93712,0
0.94895102,111.88099,0
0.94936747,111.82392,0
0.94978392,111.76588,0
0.95020037,111.7069,0
0.95061682,111.64697,0
0.95103327,111.58608,0
0.95144972,111.52425,0
0.95186617,111.46148,0
0.95228262,111.39776,0
0.95269907,111.3331,0
0.95311552,111.26749,0
0.95353197,111.20095,0
0.95394842,111.13347,0
0.95436487,111.06506,0
0.95478132,110.99571,0
0.95519778,110.92543,0
0.95561423,110.85422,0
0.95603068,110.78208,0
0.95644713,110.70902,0
0.95686358,110.63503,0
0.95728003,110.56011,0
0.95769648,110.48428,0
0.95811293,110.40753,0
0.95852938,110.32986,0
0.95894583,110.25128,0
0.95936228,110.17178,0
0.95977873,110.09138,0
0.96019518,110.01006,0
0.96061163,109.92784,0
0.96102808,109.84471,0
0.96144453,109.76069,0
0.96186098,109.67576,0
0.96227743,109.58993,0
0.96269388,109.50321,0
0.96311033,109.4156,0
0.96352678,109.32709,0
0.96394324,109.2377,0
0.96435969,109.14742,0
0.96477614,109.05625,0
0.96519259,108.96421,0
0.96560904,108.87128,0
0.96602549,108.77748,0
0.96644194,108.6828,0
0.96685839,108.58725,0
0.96727484,108.49083,0
0.96769129,108.39354,0
0.96810774,108.29539,0
0.96852419,108.19638,0
0.96894064,108.0965,0
0.96935709,107.99577,0
0.96977354,107.89418,0
0.97018999,107.79174,0
0.97060644,107.68846,0
0.97102289,107.58432,0
0.97143934,107.47934,0
0.97185579,107.37352,0
0.97227224,107.26686,0
0.9726887,107.15936,0
0.97310515,107.05103,0
0.9735216,106.94187,0
0.97393805,106.83189,0
0.9743545,106.72107,0
0.97477095,106.60944,0
0.9751874,106.49698,0
0.97560385,106.38371,0
0.9760203,106.26962,0
0.97643675,106.15473,0
0.9768532,106.03902,0
0.97726965,105.92251,0
0.9776861,105.8052,0
0.97810255,105.68709,0
0.978519,105.56818,0
0.97893545,105.44848,0
0.9793519,105.32799,0
0.97976835,105.20671,0
0.9801848,105.08465,0
0.98060125,104.96181,0
0.9810177,104.83818,0
0.98143416,104.71379,0
0.98185061,104.58862,0
0.98226706,104.46268,0
0.98268351,104.33598,0
0.98309996,104.20851,0
0.98351641,104.08028,0
0.98393286,103.9513,0
0.98434931,103.82157,0
0.98476576,103.69108,0
0.98518221,103.55985,0
0.98559866,103.42788,0
0.98601511,103.29517,0
0.98643156,103.16172,0
0.98684801,103.02753,0
0.98726446,102.89262,0
0.98768091,102.75698,0
0.98809736,102.62061,0
0.98851381,102.48353,0
0.98893026,102.34573,0
0.98934671,102.20721,0
0.98976316,102.06799,0
0.99017962,101.92806,0
0.99059607,101.78742,0
0.99101252,101.64609,0
0.99142897,101.50406,0
0.99184542,101.36134,0
0.99226187,101.21793,0
0.99267832,101.07383,0
0.99309477,100.92905,0
0.99351122,100.78359,0
0.99392767,100.63746,0
0.99434412,100.49065,0
0.99476057,100.34318,0
0.99517702,100.19504,0
0.99559347,100.04625,0
0.99600992,99.896791,0
0.99642637,99.746682,0
0.99684282,99.595922,0
0.99725927,99.444516,0
0.99767572,99.292468,0
0.99809217,99.13978,0
0.99850862,98.986457,0
0.99892508,98.832502,0
0.99934153,98.677919,0
0.99975798,98.522711,0
1.0001744,98.366883,0
1.0005909,98.210438,0
1.0010073,98.053379,0
1.0014238,97.895711,0
1.0018402,97.737437,0
1.0022567,97.578562,0
1.0026731,97.419088,0
1.0030896,97.259019,0
1.003506,97.09836,0
1.0039225,96.937114,0
1.0043389,96.775285,0
1.0047554,96.612876,0
1.0051718,96.449893,0
1.0055883,96.286337,0
1.0060047,96.122214,0
1.0064212,95.957527,0
1.0068376,95.79228,0
1.0072541,95.626477,0
1.0076705,95.460121,0
1.008087,95.293218,0
1.0085034,95.125769,0
1.0089199,94.95778,0
1.0093363,94.789254,0
1.0097528,94.620196,0
1.0101692,94.450608,0
1.0105857,94.280496,0
1.0110021,94.109863,0
1.0114186,93.938712,0
1.011835,93.767049,0
1.0122515,93.594876,0
1.0126679,93.422198,0
1.0130844,93.249019,0
