xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.81924567,194.1728,0
0.81971904,194.47946,0
0.8201924,194.78463,0
0.82066576,195.08831,0
0.82113913,195.39048,0
0.82161249,195.69115,0
0.82208585,195.99029,0
0.82255922,196.28791,0
0.82303258,196.58398,0
0.82350594,196.87852,0
0.82397931,197.1715,0
0.82445267,197.46292,0
0.82492604,197.75277,0
0.8253994,198.04104,0
0.82587276,198.32772,0
0.82634613,198.61281,0
0.82681949,198.8963,0
0.82729285,199.17818,0
0.82776622,199.45844,0
0.82823958,199.73708,0
0.82871294,200.01408,0
0.82918631,200.28944,0
0.82965967,200.56315,0
0.83013303,200.8352,0
0.8306064,201.10558,0
0.83107976,201.3743,0
0.83155312,201.64133,0
0.83202649,201.90667,0
0.83249985,202.17032,0
0.83297321,202.43227,0
0.83344658,202.6925,0
0.83391994,202.95102,0
0.83439331,203.2078,0
0.83486667,203.46286,0
0.83534003,203.71618,0
0.8358134,203.96774,0
0.83628676,204.21756,0
0.83676012,204.46561,0
0.83723349,204.71189,0
0.83770685,204.95639,0
0.83818021,205.19911,0
0.83865358,205.44004,0
0.83912694,205.67917,0
0.8396003,205.9165,0
0.84007367,206.15201,0
0.84054703,206.38571,0
0.84102039,206.61758,0
0.84149376,206.84762,0
0.84196712,207.07583,0
0.84244048,207.30218,0
0.84291385,207.52669,0
0.84338721,207.74933,0
0.84386058,207.97011,0
0.84433394,208.18902,0
0.8448073,208.40606,0
0.84528067,208.6212,0
0.84575403,208.83446,0
0.84622739,209.04582,0
0.84670076,209.25528,0
0.84717412,209.46283,0
0.84764748,209.66846,0
0.84812085,209.87218,0
0.84859421,210.07396,0
0.84906757,210.27381,0
0.84954094,210.47173,0
0.8500143,210.6677,0
0.85048766,210.86172,0
0.85096103,211.05378,0
0.85143439,211.24388,0
0.85190776,211.43201,0
0.85238112,211.61817,0
0.85285448,211.80235,0
0.85332785,211.98455,0
0.85380121,212.16475,0
0.85427457,212.34297,0
0.85474794,212.51918,0
0.8552213,212.69339,0
0.85569466,212.86558,0
0.85616803,213.03576,0
0.85664139,213.20393,0
0.85711475,213.37006,0
0.85758812,213.53416,0
0.85806148,213.69623,0
0.85853484,213.85626,0
0.85900821,214.01424,0
0.85948157,214.17018,0
0.85995493,214.32406,0
0.8604283,214.47588,0
0.86090166,214.62563,0
0.86137503,214.77332,0
0.86184839,214.91894,0
0.86232175,215.06248,0
0.86279512,215.20394,0
0.86326848,215.34331,0
0.86374184,215.48059,0
0.86421521,215.61578,0
0.86468857,215.74887,0
0.86516193,215.87986,0
0.8656353,216.00875,0
0.86610866,216.13552,0
0.86658202,216.26019,0
0.86705539,216.38273,0
0.86752875,216.50316,0
0.86800211,216.62146,0
0.86847548,216.73763,0
0.86894884,216.85167,0
0.8694222,216.96358,0
0.86989557,217.07335,0
0.87036893,217.18097,0
0.8708423,217.28646,0
0.87131566,217.38979,0
0.87178902,217.49098,0
0.87226239,217.59,0
0.87273575,217.68688,0
0.87320911,217.78159,0
0.87368248,217.87414,0
0.87415584,217.96453,0
0.8746292,218.05274,0
0.87510257,218.13879,0
0.87557593,218.22266,0
0.87604929,218.30436,0
0.87652266,218.38387,0
0.87699602,218.46121,0
0.87746938,218.53636,0
0.87794275,218.60933,0
0.87841611,218.68011,0
0.87888947,218.7487,0
0.87936284,218.8151,0
0.8798362,218.8793,0
0.88030957,218.94131,0
0.88078293,219.00112,0
0.88125629,219.05873,0
0.88172966,219.11414,0
0.88220302,219.16735,0
0.88267638,219.21835,0
0.88314975,219.26714,0
0.88362311,219.31373,0
0.88409647,219.35811,0
0.88456984,219.40028,0
0.8850432,219.44024,0
0.88551656,219.47798,0
0.88598993,219.51351,0
0.88646329,219.54682,0
0.88693665,219.57792,0
0.88741002,219.6068,0
0.88788338,219.63347,0
0.88835675,219.65791,0
0.88883011,219.68014,0
0.88930347,219.70014,0
0.88977684,219.71793,0
0.8902502,219.73349,0
0.89072356,219.74683,0
0.89119693,219.75795,0
0.89167029,219.76685,0
0.89214365,219.77352,0
0.89261702,219.77797,0
0.89309038,219.7802,0
0.89356374,219.7802,0
0.89403711,219.77798,0
0.89451047,219.77354,0
0.89498383,219.76688,0
0.8954572,219.75799,0
0.89593056,219.74688,0
0.89640392,219.73355,0
0.89687729,219.71799,0
0.89735065,219.70022,0
0.89782402,219.68022,0
0.89829738,219.658,0
0.89877074,219.63357,0
0.89924411,219.60691,0
0.89971747,219.57804,0
0.90019083,219.54695,0
0.9006642,219.51364,0
0.90113756,219.47812,0
0.90161092,219.44039,0
0.90208429,219.40044,0
0.90255765,219.35828,0
0.90303101,219.31391,0
0.90350438,219.26733,0
0.90397774,219.21854,0
0.9044511,219.16755,0
0.90492447,219.11435,0
