xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.8783632,84.199042,0
0.87874005,84.411753,0
0.8791169,84.62389,0
0.87949375,84.835447,0
0.87987061,85.046417,0
0.88024746,85.256793,0
0.88062431,85.466568,0
0.88100116,85.675734,0
0.88137801,85.884285,0
0.88175486,86.092214,0
0.88213171,86.299514,0
0.88250857,86.506178,0
0.88288542,86.712199,0
0.88326227,86.917569,0
0.88363912,87.122283,0
0.88401597,87.326333,0
0.88439282,87.529713,0
0.88476967,87.732414,0
0.88514653,87.934431,0
0.88552338,88.135757,0
0.88590023,88.336384,0
0.88627708,88.536306,0
0.88665393,88.735517,0
0.88703078,88.934008,0
0.88740763,89.131773,0
0.88778449,89.328806,0
0.88816134,89.5251,0
0.88853819,89.720648,0
0.88891504,89.915443,0
0.88929189,90.109478,0
0.88966874,90.302747,0
0.89004559,90.495243,0
0.89042244,90.686959,0
0.8907993,90.877888,0
0.89117615,91.068025,0
0.891553,91.257361,0
0.89192985,91.445892,0
0.8923067,91.633609,0
0.89268355,91.820507,0
0.8930604,92.006578,0
0.89343726,92.191817,0
0.89381411,92.376216,0
0.89419096,92.559769,0
0.89456781,92.742471,0
0.89494466,92.924313,0
0.89532151,93.10529,0
0.89569836,93.285395,0
0.89607522,93.464622,0
0.89645207,93.642965,0
0.89682892,93.820416,0
0.89720577,93.996971,0
0.89758262,94.172621,0
0.89795947,94.347362,0
0.89833632,94.521187,0
0.89871318,94.694089,0
0.89909003,94.866063,0
0.89946688,95.037101,0
0.89984373,95.207199,0
0.90022058,95.37635,0
0.90059743,95.544547,0
0.90097428,95.711784,0
0.90135114,95.878057,0
0.90172799,96.043357,0
0.90210484,96.20768,0
0.90248169,96.37102,0
0.90285854,96.53337,0
0.90323539,96.694725,0
0.90361224,96.855078,0
0.9039891,97.014424,0
0.90436595,97.172757,0
0.9047428,97.330071,0
0.90511965,97.486361,0
0.9054965,97.64162,0
0.90587335,97.795843,0
0.9062502,97.949024,0
0.90662706,98.101157,0
0.90700391,98.252238,0
0.90738076,98.40226,0
0.90775761,98.551218,0
0.90813446,98.699105,0
0.90851131,98.845918,0
0.90888816,98.99165,0
0.90926502,99.136296,0
0.90964187,99.27985,0
0.91001872,99.422308,0
0.91039557,99.563663,0
0.91077242,99.703911,0
0.91114927,99.843046,0
0.91152612,99.981063,0
0.91190298,100.11796,0
0.91227983,100.25372,0
0.91265668,100.38836,0
0.91303353,100.52185,0
0.91341038,100.6542,0
0.91378723,100.7854,0
0.91416408,100.91545,0
0.91454094,101.04434,0
0.91491779,101.17207,0
0.91529464,101.29863,0
0.91567149,101.42402,0
0.91604834,101.54823,0
0.91642519,101.67126,0
0.91680204,101.7931,0
0.9171789,101.91375,0
0.91755575,102.0332,0
0.9179326,102.15145,0
0.91830945,102.2685,0
0.9186863,102.38434,0
0.91906315,102.49896,0
0.91944,102.61237,0
0.91981685,102.72455,0
0.92019371,102.83551,0
0.92057056,102.94524,0
0.92094741,103.05373,0
0.92132426,103.16098,0
0.92170111,103.26699,0
0.92207796,103.37175,0
0.92245481,103.47525,0
0.92283167,103.57751,0
0.92320852,103.6785,0
0.92358537,103.77823,0
0.92396222,103.87669,0
0.92433907,103.97388,0
0.92471592,104.0698,0
0.92509277,104.16444,0
0.92546963,104.25779,0
0.92584648,104.34986,0
0.92622333,104.44064,0
0.92660018,104.53013,0
0.92697703,104.61832,0
0.92735388,104.70521,0
0.92773073,104.7908,0
0.92810759,104.87509,0
0.92848444,104.95806,0
0.92886129,105.03972,0
0.92923814,105.12006,0
0.92961499,105.19909,0
0.92999184,105.27679,0
0.93036869,105.35317,0
0.93074555,105.42822,0
0.9311224,105.50194,0
0.93149925,105.57432,0
0.9318761,105.64537,0
0.93225295,105.71508,0
0.9326298,105.78345,0
0.93300665,105.85047,0
0.93338351,105.91614,0
0.93376036,105.98047,0
0.93413721,106.04344,0
0.93451406,106.10505,0
0.93489091,106.16531,0
0.93526776,106.22421,0
0.93564461,106.28175,0
0.93602147,106.33792,0
0.93639832,106.39273,0
0.93677517,106.44616,0
0.93715202,106.49823,0
0.93752887,106.54893,0
0.93790572,106.59824,0
0.93828257,106.64619,0
0.93865943,106.69275,0
0.93903628,106.73793,0
0.93941313,106.78174,0
0.93978998,106.82415,0
0.94016683,106.86518,0
0.94054368,106.90483,0
0.94092053,106.94309,0
0.94129739,106.97995,0
0.94167424,107.01543,0
0.94205109,107.04951,0
0.94242794,107.08219,0
0.94280479,107.11348,0
0.94318164,107.14338,0
0.94355849,107.17187,0
0.94393535,107.19897,0
0.9443122,107.22467,0
0.94468905,107.24896,0
0.9450659,107.27185,0
0.94544275,107.29334,0
0.9458196,107.31343,0
0.94619645,107.33211,0
0.9465733,107.34939,0
0.94695016,107.36526,0
0.94732701,107.37972,0
0.94770386,107.39277,0
0.94808071,107.40442,0
0.94845756,107.41466,0
0.94883441,107.42349,0
0.94921126,107.43091,0
0.94958812,107.43692,0
0.94996497,107.44152,0
0.95034182,107.44472,0
0.95071867,107.4465,0
0.95109552,107.44687,0
0.95147237,107.44583,0
0.95184922,107.44338,0
0.95222608,107.43953,0
0.95260293,107.43426,0
0.95297978,107.42758,0
0.95335663,107.4195,0
0.95373348,107.41,0
0.95411033,107.3991,0
0.95448718,107.38678,0
0.95486404,107.37307,0
0.95524089,107.35794,0
0.95561774,107.3414,0
0.95599459,107.32347,0
0.95637144,107.30412,0
0.95674829,107.28337,0
0.95712514,107.26122,0
0.957502,107.23767,0
0.95787885,107.21271,0
0.9582557,107.18635,0
0.95863255,107.15859,0
0.9590094,107.12944,0
0.95938625,107.09888,0
0.9597631,107.06693,0
0.96013996,107.03359,0
0.96051681,106.99885,0
0.96089366,106.96272,0
0.96127051,106.9252,0
0.96164736,106.88628,0
0.96202421,106.84598,0
0.96240106,106.8043,0
0.96277792,106.76123,0
0.96315477,106.71677,0
0.96353162,106.67094,0
0.96390847,106.62372,0
0.96428532,106.57513,0
0.96466217,106.52516,0
0.96503902,106.47382,0
0.96541588,106.4211,0
0.96579273,106.36702,0
0.96616958,106.31157,0
0.96654643,106.25475,0
0.96692328,106.19657,0
0.96730013,106.13703,0
0.96767698,106.07613,0
0.96805384,106.01387,0
0.96843069,105.95026,0
0.96880754,105.8853,0
0.96918439,105.81899,0
0.96956124,105.75133,0
0.96993809,105.68233,0
0.97031494,105.61199,0
0.9706918,105.54031,0
0.97106865,105.4673,0
0.9714455,105.39295,0
0.97182235,105.31727,0
0.9721992,105.24027,0
0.97257605,105.16194,0
0.9729529,105.08229,0
0.97332976,105.00133,0
0.97370661,104.91904,0
0.97408346,104.83545,0
0.97446031,104.75055,0
0.97483716,104.66435,0
0.97521401,104.57684,0
0.97559086,104.48804,0
0.97596771,104.39794,0
0.97634457,104.30655,0
0.97672142,104.21387,0
0.97709827,104.11991,0
0.97747512,104.02467,0
0.97785197,103.92815,0
0.97822882,103.83036,0
0.97860567,103.7313,0
0.97898253,103.63097,0
0.97935938,103.52938,0
0.97973623,103.42654,0
0.98011308,103.32244,0
0.98048993,103.21709,0
0.98086678,103.11049,0
0.98124363,103.00266,0
0.98162049,102.89358,0
0.98199734,102.78327,0
0.98237419,102.67174,0
0.98275104,102.55898,0
0.98312789,102.44499,0
0.98350474,102.32979,0
0.98388159,102.21338,0
0.98425845,102.09577,0
0.9846353,101.97695,0
0.98501215,101.85693,0
0.985389,101.73572,0
0.98576585,101.61331,0
0.9861427,101.48973,0
0.98651955,101.36496,0
0.98689641,101.23902,0
0.98727326,101.11191,0
0.98765011,100.98363,0
0.98802696,100.85419,0
0.98840381,100.7236,0
0.98878066,100.59185,0
0.98915751,100.45896,0
0.98953437,100.32493,0
0.98991122,100.18976,0
0.99028807,100.05346,0
0.99066492,99.916034,0
0.99104177,99.777489,0
0.99141862,99.637827,0
0.99179547,99.497056,0
0.99217233,99.35518,0
0.99254918,99.212204,0
0.99292603,99.068133,0
0.99330288,98.922974,0
0.99367973,98.776731,0
0.99405658,98.62941,0
0.99443343,98.481016,0
0.99481029,98.331555,0
0.99518714,98.181033,0
0.99556399,98.029454,0
0.99594084,97.876825,0
0.99631769,97.723152,0
0.99669454,97.568439,0
0.99707139,97.412692,0
0.99744825,97.255918,0
0.9978251,97.098123,0
0.99820195,96.93931,0
0.9985788,96.779488,0
0.99895565,96.618661,0
0.9993325,96.456836,0
0.99970935,96.294018,0
1.0000862,96.130213,0
1.0004631,95.965428,0
1.0008399,95.799668,0
1.0012168,95.632939,0
1.0015936,95.465247,0
1.0019705,95.296599,0
1.0023473,95.127001,0
1.0027242,94.956458,0
1.003101,94.784977,0
1.0034779,94.612564,0
1.0038547,94.439226,0
1.0042316,94.264968,0
1.0046084,94.089796,0
1.0049853,93.913718,0
1.0053621,93.736739,0
1.005739,93.558866,0
1.0061158,93.380105,0
1.0064927,93.200463,0
1.0068695,93.019945,0
1.0072464,92.838559,0
1.0076232,92.65631,0
1.0080001,92.473206,0
1.0083769,92.289252,0
1.0087538,92.104456,0
1.0091306,91.918823,0
1.0095075,91.732361,0
1.0098843,91.545075,0
1.0102612,91.356973,0
1.010638,91.168061,0
1.0110149,90.978346,0
1.0113917,90.787834,0
1.0117686,90.596532,0
1.0121455,90.404447,0
1.0125223,90.211586,0
1.0128992,90.017954,0
1.013276,89.823559,0
1.0136529,89.628408,0
1.0140297,89.432507,0
1.0144066,89.235864,0
1.0147834,89.038484,0
1.0151603,88.840375,0
1.0155371,88.641543,0
1.015914,88.441996,0
1.0162908,88.24174,0
1.0166677,88.040782,0
1.0170445,87.83913,0
1.0174214,87.636788,0
1.0177982,87.433766,0
1.0181751,87.230069,0
1.0185519,87.025705,0
1.0189288,86.82068,0
1.0193056,86.615001,0
1.0196825,86.408676,0
1.0200593,86.201711,0
1.0204362,85.994113,0
1.020813,85.785889,0
1.0211899,85.577047,0
1.0215667,85.367592,0
1.0219436,85.157533,0
1.0223204,84.946876,0
1.0226973,84.735628,0
1.0230741,84.523796,0
1.023451,84.311387,0
1.0238278,84.098408,0
1.0242047,83.884867,0
1.0245815,83.67077,0
1.0249584,83.456124,0
1.0253352,83.240936,0
1.0257121,83.025213,0
1.026089,82.808963,0
1.0264658,82.592192,0
1.0268427,82.374908,0
1.0272195,82.157117,0
1.0275964,81.938827,0
1.0279732,81.720044,0
1.0283501,81.500776,0
1.0287269,81.281029,0
1.0291038,81.060811,0
1.0294806,80.840129,0
1.0298575,80.61899,0
1.0302343,80.397401,0
1.0306112,80.175368,0
1.030988,79.9529,0
1.0313649,79.730002,0
1.0317417,79.506683,0
1.0321186,79.282948,0
1.0324954,79.058806,0
1.0328723,78.834263,0
1.0332491,78.609325,0
