xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.89544568,109.7602,0
0.8957633,110.0298,0
0.89608092,110.2983,0
0.89639855,110.56567,0
0.89671617,110.83192,0
0.89703379,111.09703,0
0.89735142,111.36099,0
0.89766904,111.62378,0
0.89798666,111.8854,0
0.89830428,112.14584,0
0.89862191,112.40508,0
0.89893953,112.66311,0
0.89925715,112.91992,0
0.89957478,113.1755,0
0.8998924,113.42984,0
0.90021002,113.68293,0
0.90052764,113.93476,0
0.90084527,114.18532,0
0.90116289,114.43459,0
0.90148051,114.68256,0
0.90179814,114.92923,0
0.90211576,115.17459,0
0.90243338,115.41861,0
0.902751,115.6613,0
0.90306863,115.90264,0
0.90338625,116.14263,0
0.90370387,116.38124,0
0.90402149,116.61847,0
0.90433912,116.85431,0
0.90465674,117.08875,0
0.90497436,117.32178,0
0.90529199,117.55339,0
0.90560961,117.78357,0
0.90592723,118.01231,0
0.90624485,118.23959,0
0.90656248,118.46541,0
0.9068801,118.68976,0
0.90719772,118.91263,0
0.90751535,119.134,0
0.90783297,119.35388,0
0.90815059,119.57224,0
0.90846821,119.78908,0
0.90878584,120.00439,0
0.90910346,120.21816,0
0.90942108,120.43037,0
0.90973871,120.64103,0
0.91005633,120.85012,0
0.91037395,121.05763,0
0.91069157,121.26355,0
0.9110092,121.46787,0
0.91132682,121.67059,0
0.91164444,121.87169,0
0.91196207,122.07116,0
0.91227969,122.269,0
0.91259731,122.4652,0
0.91291493,122.65975,0
0.91323256,122.85263,0
0.91355018,123.04385,0
0.9138678,123.23338,0
0.91418542,123.42123,0
0.91450305,123.60738,0
0.91482067,123.79183,0
0.91513829,123.97457,0
0.91545592,124.15558,0
0.91577354,124.33487,0
0.91609116,124.51241,0
0.91640878,124.68821,0
0.91672641,124.86226,0
0.91704403,125.03454,0
0.91736165,125.20506,0
0.91767928,125.37379,0
0.9179969,125.54074,0
0.91831452,125.7059,0
0.91863214,125.86926,0
0.91894977,126.0308,0
0.91926739,126.19053,0
0.91958501,126.34844,0
0.91990264,126.50452,0
0.92022026,126.65875,0
0.92053788,126.81115,0
0.9208555,126.96169,0
