xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.85791107,138.33672,0
0.85834344,138.43391,0
0.85877582,138.52977,0
0.8592082,138.62429,0
0.85964057,138.71748,0
0.86007295,138.80933,0
0.86050532,138.89984,0
0.8609377,138.989,0
0.86137008,139.07682,0
0.86180245,139.16328,0
0.86223483,139.24839,0
0.86266721,139.33215,0
0.86309958,139.41454,0
0.86353196,139.49558,0
0.86396434,139.57525,0
0.86439671,139.65356,0
0.86482909,139.7305,0
0.86526147,139.80608,0
0.86569384,139.88028,0
0.86612622,139.9531,0
0.86655859,140.02455,0
0.86699097,140.09462,0
0.86742335,140.16331,0
0.86785572,140.23061,0
0.8682881,140.29653,0
0.86872048,140.36107,0
0.86915285,140.42421,0
0.86958523,140.48596,0
0.87001761,140.54633,0
0.87044998,140.60529,0
0.87088236,140.66286,0
0.87131474,140.71904,0
0.87174711,140.77381,0
0.87217949,140.82718,0
0.87261187,140.87915,0
0.87304424,140.92971,0
0.87347662,140.97887,0
0.87390899,141.02662,0
0.87434137,141.07297,0
0.87477375,141.1179,0
0.87520612,141.16142,0
0.8756385,141.20352,0
0.87607088,141.24422,0
0.87650325,141.28349,0
0.87693563,141.32135,0
0.87736801,141.3578,0
0.87780038,141.39282,0
0.87823276,141.42642,0
0.87866514,141.45861,0
0.87909751,141.48937,0
0.87952989,141.51871,0
0.87996226,141.54662,0
0.88039464,141.57311,0
0.88082702,141.59817,0
0.88125939,141.62181,0
0.88169177,141.64402,0
0.88212415,141.6648,0
0.88255652,141.68416,0
0.8829889,141.70208,0
0.88342128,141.71858,0
0.88385365,141.73365,0
0.88428603,141.74728,0
0.88471841,141.75949,0
0.88515078,141.77026,0
0.88558316,141.77961,0
0.88601554,141.78752,0
0.88644791,141.794,0
0.88688029,141.79904,0
0.88731266,141.80266,0
0.88774504,141.80484,0
0.88817742,141.80559,0
0.88860979,141.80491,0
0.88904217,141.80279,0
0.88947455,141.79925,0
0.88990692,141.79427,0
0.8903393,141.78786,0
0.89077168,141.78001,0
0.89120405,141.77074,0
0.89163643,141.76003,0
0.89206881,141.74789,0
0.89250118,141.73432,0
0.89293356,141.71932,0
0.89336593,141.70289,0
0.89379831,141.68504,0
0.89423069,141.66575,0
0.89466306,141.64503,0
0.89509544,141.62289,0
0.89552782,141.59932,0
0.89596019,141.57432,0
0.89639257,141.5479,0
0.89682495,141.52005,0
0.89725732,141.49078,0
0.8976897,141.46009,0
0.89812208,141.42798,0
0.89855445,141.39444,0
0.89898683,141.35948,0
0.89941921,141.32311,0
0.89985158,141.28531,0
0.90028396,141.2461,0
0.90071633,141.20548,0
0.90114871,141.16344,0
0.90158109,141.11998,0
0.90201346,141.07512,0
0.90244584,141.02884,0
0.90287822,140.98116,0
0.90331059,140.93207,0
0.90374297,140.88157,0
0.90417535,140.82967,0
0.90460772,140.77636,0
0.9050401,140.72165,0
0.90547248,140.66555,0
0.90590485,140.60804,0
0.90633723,140.54914,0
0.9067696,140.48884,0
0.90720198,140.42716,0
0.90763436,140.36408,0
0.90806673,140.29961,0
0.90849911,140.23375,0
0.90893149,140.16651,0
0.90936386,140.09789,0
0.90979624,140.02789,0
0.91022862,139.9565,0
0.91066099,139.88374,0
0.91109337,139.80961,0
0.91152575,139.7341,0
0.91195812,139.65723,0
0.9123905,139.57898,0
0.91282288,139.49937,0
0.91325525,139.4184,0
0.91368763,139.33607,0
0.91412,139.25237,0
0.91455238,139.16733,0
0.91498476,139.08093,0
0.91541713,138.99318,0
0.91584951,138.90408,0
0.91628189,138.81363,0
0.91671426,138.72185,0
0.91714664,138.62872,0
0.91757902,138.53426,0
0.91801139,138.43846,0
0.91844377,138.34134,0
0.91887615,138.24288,0
0.91930852,138.1431,0
0.9197409,138.04199,0
0.92017327,137.93957,0
0.92060565,137.83583,0
0.92103803,137.73077,0
0.9214704,137.62441,0
0.92190278,137.51674,0
0.92233516,137.40777,0
0.92276753,137.29749,0
0.92319991,137.18592,0
0.92363229,137.07305,0
0.92406466,136.95889,0
0.92449704,136.84345,0
0.92492942,136.72672,0
