runNumber,fallTime
76,376.45847
77,372.03034
78,303.50612
79,399.19682
80,399.4991
81,392.76564
82,394.98894
83,391.61012
84,394.58863
85,383.48692
86,377.4969
87,320.8704
88,395.65735
89,344.65505
90,383.03207
91,383.20229
92,383.0352
93,380.81189
94,382.81472
95,380.15355
96,382.13793
97,377.21079
98,383.71037
99,378.67271
100,378.18202
101,282.29663
102,257.64626
103,293.97949
104,295.17246
105,297.06259
106,298.90914
107,295.06906
108,256.95092
109,148.56937
110,258.55732
111,290.1283
112,318.15808
113,292.15756
114,281.60862
115,166.82161
116,261.40421
117,239.14754
118,258.77326
119,202.71186
120,260.96269
121,185.88009
122,426.05366
123,425.82972
124,423.18354
125,424.94743
126,422.55309
127,425.28835
128,423.45181
145,439.76672
146,439.39027
147,440.1321
148,434.60876
149,433.17853
150,433.00547
151,432.30905
152,429.51871
153,430.61079
154,429.4749
155,430.05383
156,428.36408
157,429.67537
158,428.75
159,430.07629
160,428.24424
161,431.26353
162,430.58609
163,432.74231
164,434.00681
165,435.66258
166,432.94154
167,434.59108
168,433.21828
169,435.34381
170,432.97992
171,434.149
172,433.45626
173,433.4393
174,434.3847
175,435.25034
176,432.89035
177,435.52502
178,429.89639
179,426.56369
180,426.1981
181,428.41395
182,430.14288
183,430.26888
184,432.68599
185,434.17926
186,434.53442
187,432.9209
188,434.93301
