Type,ys,xs
signalEff,0,0
signalEff,0,1
signalEff,0,2
signalEff,0,3
signalEff,0,4
signalEff,0,5
signalEff,0,6
signalEff,0,7
signalEff,0,8
signalEff,0,9
signalEff,0,10
signalEff,0,11
signalEff,0,12
signalEff,0,13
signalEff,0,14
signalEff,0,15
signalEff,0,16
signalEff,0,17
signalEff,0,18
signalEff,0,19
signalEff,0,20
signalEff,0,21
signalEff,0,22
signalEff,0,23
signalEff,0,24
signalEff,0,25
signalEff,0,26
signalEff,0,27
signalEff,0,28
signalEff,0,29
signalEff,0,30
signalEff,0,31
signalEff,0,32
signalEff,0,33
signalEff,0,34
signalEff,0,35
signalEff,0,36
signalEff,0,37
signalEff,0,38
signalEff,0,39
signalEff,0,40
signalEff,0,41
signalEff,0,42
signalEff,0,43
signalEff,0,44
signalEff,0,45
signalEff,0,46
signalEff,0,47
signalEff,0,48
signalEff,0,49
signalEff,0,50
signalEff,9.49316018e-06,51
signalEff,3.7972641e-05,52
signalEff,0.0001186645,53
signalEff,0.00030378113,54
signalEff,0.00076894597,55
signalEff,0.0018511662,56
signalEff,0.0042766687,57
signalEff,0.0079267887,58
signalEff,0.013622685,59
signalEff,0.021801042,60
signalEff,0.034536117,61
signalEff,0.05297658,62
signalEff,0.077635064,63
signalEff,0.10793723,64
signalEff,0.14408719,65
signalEff,0.18580488,66
signalEff,0.23335612,67
signalEff,0.28616657,68
signalEff,0.34454476,69
signalEff,0.40662528,70
signalEff,0.47413114,71
signalEff,0.54361632,72
signalEff,0.61659025,73
signalEff,0.68885218,74
signalEff,0.75494356,75
signalEff,0.81483116,76
signalEff,0.86358803,77
signalEff,0.90185971,78
signalEff,0.93126003,79
signalEff,0.95202632,80
signalEff,0.96636099,81
signalEff,0.97695535,82
signalEff,0.98399453,83
signalEff,0.98875535,84
signalEff,0.99181215,85
signalEff,0.99346396,86
signalEff,0.99449871,87
signalEff,0.99501609,88
signalEff,0.99534835,89
signalEff,0.99551448,90
signalEff,0.99572333,91
signalEff,0.99582301,92
signalEff,0.99592743,93
signalEff,0.99600813,94
signalEff,0.99607932,95
signalEff,0.99616476,96
signalEff,0.99621698,97
signalEff,0.99627868,98
signalEff,0.99635937,99
signalEff,0.99640684,100
signalEff,0.9964543,101
signalEff,0.99649702,102
signalEff,0.99653974,103
signalEff,0.99658721,104
signalEff,0.99662993,105
signalEff,0.99668214,106
signalEff,0.99672011,107
signalEff,0.99675809,108
signalEff,0.99680081,109
signalEff,0.99682454,110
signalEff,0.99689099,111
signalEff,0.9969432,112
signalEff,0.99695744,113
signalEff,0.99699067,114
signalEff,0.99702864,115
signalEff,0.99705237,116
signalEff,0.99706187,117
signalEff,0.99707136,118
signalEff,0.99709984,119
signalEff,0.99713307,120
signalEff,0.9971568,121
signalEff,0.99719952,122
signalEff,0.997228,123
signalEff,0.99726122,124
signalEff,0.99731344,125
signalEff,0.99732768,126
signalEff,0.99738463,127
signalEff,0.99740837,128
signalEff,0.99746058,129
signalEff,0.99747007,130
signalEff,0.99748431,131
signalEff,0.99751754,132
signalEff,0.99754127,133
signalEff,0.99756975,134
signalEff,0.99759348,135
signalEff,0.99761247,136
signalEff,0.9976362,137
signalEff,0.9976457,138
signalEff,0.99765519,139
signalEff,0.99767418,140
signalEff,0.99769791,141
signalEff,0.99771689,142
signalEff,0.99774063,143
signalEff,0.99775961,144
signalEff,0.99779759,145
signalEff,0.99781657,146
signalEff,0.99782607,147
signalEff,0.99783081,148
signalEff,0.99785455,149
signalEff,0.99785929,150
signalEff,0.99787828,151
signalEff,0.99788303,152
signalEff,0.99790676,153
signalEff,0.99791625,154
signalEff,0.997921,155
signalEff,0.99794948,156
signalEff,0.9979827,157
signalEff,0.99799694,158
signalEff,0.99800169,159
signalEff,0.99802068,160
signalEff,0.99804916,161
signalEff,0.99807289,162
signalEff,0.99808238,163
signalEff,0.99808713,164
signalEff,0.99810137,165
signalEff,0.99813459,166
signalEff,0.99813934,167
signalEff,0.99814409,168
signalEff,0.99814883,169
signalEff,0.99816782,170
signalEff,0.99816782,171
signalEff,0.99817731,172
signalEff,0.99820579,173
signalEff,0.99822478,174
signalEff,0.99823427,175
signalEff,0.99826275,176
signalEff,0.99829123,177
signalEff,0.99830072,178
signalEff,0.99831022,179
signalEff,0.99832446,180
signalEff,0.99832446,181
signalEff,0.9983292,182
signalEff,0.9983387,183
signalEff,0.99834819,184
signalEff,0.99837192,185
signalEff,0.99838616,186
signalEff,0.99838616,187
signalEff,0.99840515,188
signalEff,0.99842414,189
signalEff,0.99844312,190
signalEff,0.99846211,191
signalEff,0.99847635,192
signalEff,0.99849059,193
signalEff,0.99849533,194
signalEff,0.99850957,195
signalEff,0.99851907,196
signalEff,0.99853331,197
signalEff,0.99853805,198
signalEff,0.99854755,199
backSup,1,0
backSup,0.99943567,1
backSup,0.9972853,2
backSup,0.99634843,3
backSup,0.99626913,4
backSup,0.99623225,5
backSup,0.9961843,6
backSup,0.99616401,7
backSup,0.99613266,8
backSup,0.99611422,9
backSup,0.9960884,10
backSup,0.99604782,11
backSup,0.99602016,12
backSup,0.99598697,13
backSup,0.99595192,14
backSup,0.99591688,15
backSup,0.99588553,16
backSup,0.99586709,17
backSup,0.99584312,18
backSup,0.99580992,19
backSup,0.9957048,20
backSup,0.9953544,21
backSup,0.99504825,22
backSup,0.99485092,23
backSup,0.99465912,24
backSup,0.99441568,25
backSup,0.99382738,26
backSup,0.99250138,27
backSup,0.98941414,28
backSup,0.98474457,29
backSup,0.97979651,30
backSup,0.97515644,31
backSup,0.9715436,32
backSup,0.96891373,33
backSup,0.96680209,34
backSup,0.96532856,35
backSup,0.96421096,36
backSup,0.96328147,37
backSup,0.96252534,38
backSup,0.96187986,39
backSup,0.96133581,40
backSup,0.96084709,41
backSup,0.96041739,42
backSup,0.96001166,43
backSup,0.95952109,44
backSup,0.95907294,45
backSup,0.95869857,46
backSup,0.95825964,47
backSup,0.95779674,48
backSup,0.9573615,49
backSup,0.95689123,50
backSup,0.95632874,51
backSup,0.95579391,52
backSup,0.9551429,53
backSup,0.95422079,54
backSup,0.95306999,55
backSup,0.95163149,56
backSup,0.94979096,57
backSup,0.94750596,58
backSup,0.94463081,59
backSup,0.94112678,60
backSup,0.9367615,61
backSup,0.93175812,62
backSup,0.92567033,63
backSup,0.91873973,64
backSup,0.91070997,65
backSup,0.90151282,66
backSup,0.89127737,67
backSup,0.8800571,68
backSup,0.8678557,69
backSup,0.85496825,70
backSup,0.84149434,71
backSup,0.82713335,72
backSup,0.81275762,73
backSup,0.79842061,74
backSup,0.78389364,75
backSup,0.7695345,76
backSup,0.75554051,77
backSup,0.74211086,78
backSup,0.72853552,79
backSup,0.71574397,80
backSup,0.70375835,81
backSup,0.69213788,82
backSup,0.68129937,83
backSup,0.67100306,84
backSup,0.66126739,85
backSup,0.6518102,86
backSup,0.6423733,87
backSup,0.63340298,88
backSup,0.62488082,89
backSup,0.61650066,90
backSup,0.60801722,91
backSup,0.59970898,92
backSup,0.59161099,93
backSup,0.58369004,94
backSup,0.57599408,95
backSup,0.56866144,96
backSup,0.56120708,97
backSup,0.55416767,98
backSup,0.54723707,99
backSup,0.54061815,100
backSup,0.53405086,101
backSup,0.52782475,102
backSup,0.52202282,103
backSup,0.51618585,104
backSup,0.51069743,105
backSup,0.50538422,106
backSup,0.5001669,107
backSup,0.4951543,108
backSup,0.49023206,109
backSup,0.48535961,110
backSup,0.48060336,111
backSup,0.47585448,112
backSup,0.47136747,113
backSup,0.46672003,114
backSup,0.46207995,115
backSup,0.45735689,116
backSup,0.45262645,117
backSup,0.44782593,118
backSup,0.44311394,119
backSup,0.43831157,120
backSup,0.43346679,121
backSup,0.42839702,122
backSup,0.42383625,123
backSup,0.41921277,124
backSup,0.41459299,125
backSup,0.41009308,126
backSup,0.40570567,127
backSup,0.40140309,128
backSup,0.39732735,129
backSup,0.3934305,130
backSup,0.38959082,131
backSup,0.38578618,132
backSup,0.38211802,133
backSup,0.37855313,134
backSup,0.3749237,135
backSup,0.3715211,136
backSup,0.36807977,137
backSup,0.36456652,138
backSup,0.36112335,139
backSup,0.35746994,140
backSup,0.35384788,141
backSup,0.35017603,142
backSup,0.3463843,143
backSup,0.34256122,144
backSup,0.33864778,145
backSup,0.33494457,146
backSup,0.33106063,147
backSup,0.3272062,148
backSup,0.32349746,149
backSup,0.31993073,150
backSup,0.31639351,151
backSup,0.31293189,152
backSup,0.30956618,153
backSup,0.30614883,154
backSup,0.30295279,155
backSup,0.29981945,156
backSup,0.29661787,157
backSup,0.2937206,158
backSup,0.29074402,159
backSup,0.28788915,160
backSup,0.28480008,161
backSup,0.28191018,162
backSup,0.2788838,163
backSup,0.27596992,164
backSup,0.2729122,165
backSup,0.26983234,166
backSup,0.26661417,167
backSup,0.26355275,168
backSup,0.260377,169
backSup,0.25725657,170
backSup,0.25409741,171
backSup,0.25107103,172
backSup,0.24808154,173
backSup,0.24527463,174
backSup,0.24260604,175
backSup,0.24005732,176
backSup,0.23764692,177
backSup,0.23528446,178
backSup,0.23310274,179
backSup,0.23094684,180
backSup,0.22887025,181
backSup,0.22689877,182
backSup,0.22500106,183
backSup,0.22316606,184
backSup,0.221379,185
backSup,0.21963436,186
backSup,0.21776985,187
backSup,0.2159496,188
backSup,0.21415148,189
backSup,0.2123257,190
backSup,0.2104409,191
backSup,0.20865016,192
backSup,0.2067045,193
backSup,0.20479941,194
backSup,0.20290724,195
backSup,0.20095236,196
backSup,0.19900854,197
backSup,0.19706473,198
backSup,0.19523895,199
