runNumber,riseTime
76,132.71188
77,129.86818
78,110.51156
79,134.61787
80,134.74037
81,136.37722
82,136.9276
83,75.480453
84,136.57006
85,129.52346
86,128.4704
87,132.4204
88,73.921112
89,125.09969
90,133.36104
91,138.45195
92,136.77098
93,77.761478
94,136.30254
95,137.43924
96,76.732789
97,135.9476
98,138.11334
99,139.02787
100,138.94402
101,126.67931
102,65.794937
103,116.96698
104,119.17076
105,117.5897
106,120.5353
107,118.02972
108,66.06979
109,65.619318
110,66.041146
111,116.95423
112,112.3162
113,114.01683
114,107.19577
115,70.500174
116,64.635437
117,92.911466
118,65.189334
119,82.923729
120,64.376978
121,70.411941
122,69.652714
123,127.04922
124,129.09411
125,126.31046
126,71.153395
127,127.06647
128,71.152384
145,69.626289
146,125.43616
147,69.679313
148,129.84126
149,71.282173
150,132.87224
151,71.388842
152,130.5277
153,71.76672
154,129.7555
155,72.281833
156,132.68245
157,72.22282
158,130.43192
159,71.947701
160,130.06937
161,71.775807
162,129.2102
163,71.251383
164,127.39451
165,70.405252
166,130.81786
167,70.466631
168,128.37975
169,70.311843
170,129.54852
171,70.478623
172,129.49531
173,70.62972
174,126.83384
175,70.483438
176,126.66006
177,70.149438
178,130.24595
179,72.259766
180,130.99712
181,71.695839
182,130.63675
183,71.569505
184,129.63164
185,70.312142
186,127.71273
187,70.855256
188,129.5497
