xs,signalEff,backSup
0,0,1
1,0,0.99964103
2,0,0.99815793
3,0,0.99699128
4,0,0.99669372
5,0,0.99629696
6,0,0.99574906
7,0,0.9952295
8,0,0.99462493
9,0,0.99398256
10,0,0.99323156
11,0,0.9923058
12,0,0.99102108
13,0,0.98990638
14,0,0.98892867
15,0,0.9880218
16,0,0.98705353
17,0,0.98621279
18,0,0.98543818
19,0,0.98455493
20,0,0.98372363
21,0,0.98294902
22,6.23107312e-06,0.98216968
23,6.23107312e-06,0.98147536
24,6.23107312e-06,0.98089912
25,6.23107312e-06,0.98037956
26,6.23107312e-06,0.97977026
27,6.23107312e-06,0.97926487
28,6.23107312e-06,0.97885867
29,6.23107312e-06,0.97829188
30,6.23107312e-06,0.97778649
31,6.23107312e-06,0.97731416
32,6.23107312e-06,0.97682294
33,6.23107312e-06,0.97635534
34,6.23107312e-06,0.97591135
35,6.23107312e-06,0.97529261
36,6.23107312e-06,0.9748439
37,6.23107312e-06,0.97431489
38,1.2462146e-05,0.97367725
39,4.3617512e-05,0.97315297
40,8.7235024e-05,0.97253894
41,0.00031155366,0.9717785
42,0.00090973667,0.97073938
43,0.0026668993,0.96922321
44,0.0071034234,0.96726306
45,0.016474957,0.96450939
46,0.031666314,0.9608961
47,0.051624441,0.95577608
48,0.076000399,0.94941857
49,0.1053986,0.94164407
50,0.13819274,0.93368065
51,0.17541717,0.92492844
52,0.21561382,0.91511822
53,0.26098227,0.90434918
54,0.31166582,0.89320228
55,0.36629986,0.88142718
56,0.42593123,0.86912308
57,0.49065962,0.8563561
58,0.55787421,0.84347103
59,0.62411675,0.83052457
60,0.68857097,0.81721441
61,0.74958563,0.80459385
62,0.80318532,0.79174657
63,0.84990591,0.77925826
64,0.88804008,0.7669022
65,0.91754421,0.7549429
66,0.93987638,0.74368736
67,0.95643857,0.73244599
68,0.9679162,0.72109599
69,0.97601037,0.71047809
70,0.98129432,0.70044115
71,0.98477749,0.69051285
72,0.987407,0.68097658
73,0.98908939,0.67164814
74,0.99034807,0.66316515
75,0.99131388,0.65498918
76,0.99197438,0.64702576
77,0.99247909,0.63972832
78,0.99289658,0.63258202
79,0.99321436,0.62552074
80,0.99350722,0.61896013
81,0.99371285,0.61232866
82,0.99391847,0.60593336
83,0.99408048,0.60001039
84,0.99421756,0.59419133
85,0.99432972,0.58828725
86,0.99449796,0.58279409
87,0.99469113,0.57725843
88,0.99483444,0.57191642
89,0.99497152,0.566513
90,0.99506499,0.56119933
91,0.99517092,0.55558809
92,0.99527062,0.55026498
93,0.99533916,0.54518747
94,0.99544509,0.53994464
95,0.99555101,0.53454123
96,0.99560709,0.52922283
97,0.99573171,0.5239989
98,0.99581895,0.51895446
99,0.99588749,0.51375414
100,0.99596226,0.5089128
101,0.99603081,0.50364636
102,0.99608689,0.49845549
103,0.99615543,0.49363776
104,0.99622397,0.48900896
105,0.99624889,0.48423847
106,0.9963112,0.47966163
107,0.99637975,0.47499504
108,0.99647321,0.47051739
109,0.99653552,0.46611058
110,0.99657914,0.46178879
111,0.99662276,0.45769845
112,0.99666638,0.45332471
113,0.99674115,0.44902181
114,0.99676607,0.44484172
115,0.99678477,0.44075138
116,0.99682838,0.43644848
117,0.99685331,0.43204168
118,0.99691562,0.42771989
119,0.99695301,0.42329892
120,0.99699039,0.41921329
121,0.99704647,0.41515129
122,0.99708386,0.4109523
123,0.99711501,0.40671081
124,0.99716486,0.40264408
125,0.99719602,0.3984451
126,0.99722717,0.39457203
127,0.99725833,0.39074618
128,0.99730195,0.3868731
129,0.99734556,0.3831559
130,0.99735802,0.37971736
131,0.99737049,0.37605683
132,0.9974141,0.3728025
133,0.99745149,0.36950094
134,0.99748265,0.3662041
135,0.9975325,0.36297339
136,0.99756365,0.3598088
137,0.99760104,0.35677647
138,0.99763842,0.35358826
139,0.99766335,0.350145
140,0.99768204,0.34702293
141,0.99773189,0.34406616
142,0.99776928,0.34087796
143,0.99778797,0.33770393
144,0.99780666,0.33449683
145,0.99783159,0.33137003
146,0.99785028,0.32808264
147,0.99785651,0.3250503
148,0.99788144,0.32196601
149,0.99791259,0.31901397
150,0.99793128,0.31575492
151,0.99794998,0.31273203
152,0.99798113,0.30978471
153,0.99799359,0.30690352
154,0.99801852,0.30432462
155,0.99802475,0.30165125
156,0.99805591,0.29905346
157,0.99806837,0.29641788
158,0.99809952,0.29379647
159,0.99811198,0.29129314
160,0.99813691,0.28868589
161,0.99816183,0.28630537
162,0.99816806,0.28367923
163,0.99818053,0.28122314
164,0.99818676,0.27866313
165,0.99820545,0.27613618
166,0.99823038,0.2737037
167,0.99824284,0.27124288
168,0.99824907,0.26864036
169,0.99826776,0.26618899
170,0.99828022,0.26353924
171,0.99828022,0.26098867
172,0.99829269,0.25838143
173,0.99830515,0.25594423
174,0.99831761,0.25354009
175,0.9983363,0.25109816
176,0.99834253,0.24888767
177,0.99836746,0.24669608
178,0.99839861,0.24448559
179,0.99844223,0.24220898
180,0.99844846,0.24013074
181,0.99845469,0.23818003
182,0.99846716,0.23617264
183,0.99847962,0.23406135
184,0.998517,0.23189809
185,0.998517,0.22975845
186,0.9985357,0.22770856
187,0.99855439,0.22567283
188,0.99856062,0.22370323
189,0.99857308,0.22171001
190,0.99857308,0.21980654
191,0.99857932,0.21791723
192,0.99859801,0.21604682
193,0.9986167,0.21409139
194,0.99862916,0.21219736
195,0.99863539,0.21026554
196,0.99864786,0.20846126
197,0.99866032,0.20651527
198,0.99866655,0.20466375
199,0.99867901,0.20279806
