x,y,cluster ID
414,544,0
395,518,0
411,556,0
367,571,0
397,512,0
395,531,0
396,518,0
404,578,0
378,515,0
378,528,0
368,520,0
408,581,0
398,514,0
359,535,0
388,494,0
343,513,0
351,516,0
358,511,0
358,520,0
359,512,0
373,490,0
363,512,0
393,494,0
391,494,0
377,494,0
329,527,0
384,465,0
391,483,0
364,465,0
356,481,0
429,476,0
396,483,0
381,464,0
385,479,0
358,460,0
369,467,0
418,479,0
430,476,0
379,473,0
395,483,0
394,465,0
395,464,0
438,473,0
439,472,0
434,693,1
479,696,1
438,718,1
429,685,1
474,683,1
422,733,1
458,741,1
455,731,1
429,725,1
460,696,1
451,719,1
446,721,1
425,674,1
423,732,1
481,722,1
449,705,1
463,699,1
426,726,1
450,740,1
440,729,1
458,742,1
436,674,1
447,722,1
452,739,1
451,739,1
436,733,1
474,702,1
457,812,1
480,774,1
453,765,1
469,801,1
452,765,1
481,815,1
476,797,1
482,772,1
492,777,1
500,851,1
477,840,1
488,815,1
454,764,1
470,821,1
480,819,1
477,765,1
460,807,1
439,755,1
449,755,1
459,743,1
460,744,1
459,756,1
458,743,1
444,761,1
483,748,1
442,753,1
457,751,1
456,743,1
458,745,1
485,718,1
465,756,1
459,757,1
489,743,1
494,747,1
